prefix,peer_asn,as_path
197.214.32.0/22,55720,55720 3491 174 16637 37531
197.214.32.0/22,216285,216285 8280 6762 174 16637 37531
197.214.32.0/22,29504,29504 15935 9002 3356 16637 37531
197.214.32.0/22,3333,3333 1136 6939 16637 37531
197.214.32.0/22,37721,37721 1299 174 16637 37531
197.214.32.0/22,1403,1403 1299 3356 16637 37531
197.214.32.0/22,3549,3549 3356 16637 37531
197.214.32.0/22,55720,55720 6939 1299 174 16637 37531
197.214.32.0/22,20205,20205 1299 3356 16637 37531
197.214.32.0/22,852,852 3257 3356 16637 37531
197.214.32.0/22,45049,45049 6696 2914 3356 16637 37531
197.214.32.0/22,206499,206499 34549 6830 3356 16637 37531
197.214.32.0/22,49673,49673 12389 174 16637 37531
197.214.32.0/22,206499,206499 34549 2914 3356 16637 37531
197.214.32.0/22,34549,34549 6830 3356 16637 37531
197.214.32.0/22,58057,58057 34549 6830 3356 16637 37531
197.214.32.0/22,57381,57381 50304 1299 174 16637 37531
197.214.32.0/22,50304,50304 1299 174 16637 37531
197.214.32.0/22,58057,58057 34549 2914 3356 16637 37531
197.214.32.0/22,202365,202365 50673 6453 174 16637 37531
197.214.32.0/22,34800,34800 58057 50673 6453 174 16637 37531
197.214.32.0/22,49673,49673 3216 3356 174 16637 37531
197.214.32.0/22,61218,61218 6939 5511 327708 37531
197.214.32.0/22,29504,29504 15935 9002 3356 174 16637 37531
197.214.32.0/22,206499,206499 34549 2914 327708 37531
197.214.32.0/22,20205,20205 1299 174 16637 37531
197.214.32.0/22,1403,1403 1299 174 16637 37531
197.214.32.0/22,14907,14907 1299 174 16637 37531
197.214.32.0/22,34549,34549 2914 327708 37531
197.214.32.0/22,3333,3333 3320 3356 16637 37531
197.214.32.0/22,58057,58057 34549 2914 327708 37531
197.214.32.0/22,57821,57821 12586 3257 2914 327708 37531
197.214.32.0/22,4608,4608 4826 9002 16637 37531
197.214.32.0/22,34854,34854 1299 174 16637 37531
197.214.32.0/22,216285,216285 8280 174 3356 16637 37531
197.214.32.0/22,204092,204092 30781 3356 174 16637 37531
197.214.32.0/22,13830,13830 971 174 5511 327708 37531
197.214.32.0/22,852,852 1299 174 16637 37531
197.214.32.0/22,34927,34927 52025 1299 174 16637 37531
197.214.32.0/22,57821,57821 12586 3257 174 16637 37531
197.214.32.0/22,59919,59919 9002 3356 174 16637 37531
197.214.32.0/22,44393,44393 35710 4809 3320 3356 16637 37531
197.214.32.0/22,7018,7018 2914 327708 37531
197.214.32.0/22,7018,7018 174 24691 6939 16637 37531
197.214.32.0/22,48185,48185 1299 174 16637 37531
197.214.32.0/22,208972,208972 6939 16637 37531
197.214.32.0/22,57381,57381 6939 16637 37531
197.214.32.0/22,202365,202365 6939 16637 37531
197.214.32.0/22,58057,58057 6939 16637 37531
197.214.32.0/22,44393,44393 401753 58057 6939 16637 37531
197.214.32.0/22,204092,204092 6939 16637 37531
197.214.32.0/22,3333,3333 6939 16637 37531
197.214.32.0/22,34927,34927 52025 3257 174 16637 37531
197.214.32.0/22,49673,49673 12389 6939 16637 37531
197.214.32.0/22,852,852 6939 16637 37531
197.214.32.0/22,49432,49432 48362 6939 16637 37531
197.214.32.0/22,58057,58057 1836 6939 16637 37531
197.214.32.0/22,57821,57821 6939 16637 37531
197.214.32.0/22,34549,34549 1299 6939 16637 37531
197.214.32.0/22,49673,49673 20485 6939 16637 37531
197.214.32.0/22,328977,328977 6939 16637 37531
197.214.32.0/22,13830,13830 971 6939 16637 37531
197.214.32.0/22,61218,61218 6939 16637 37531
197.214.32.0/22,34927,34927 52025 64289 6939 16637 37531
197.214.32.0/22,14907,14907 1299 6939 16637 37531
197.214.32.0/22,206499,206499 34549 1299 6939 16637 37531
197.214.32.0/22,206499,206499 6939 16637 37531
197.214.32.0/22,44393,44393 212508 6939 16637 37531
197.214.32.0/22,34549,34549 6939 16637 37531
197.214.32.0/22,55720,55720 3491 6939 16637 37531
197.214.32.0/22,17639,17639 6939 16637 37531
197.214.32.0/22,7018,7018 3356 16637 37531
197.214.32.0/22,55720,55720 6939 16637 37531
197.214.32.0/22,45049,45049 6696 6939 16637 37531
197.214.32.0/22,213241,213241 16637 37531
197.214.32.0/22,328840,328840 327727 174 3356 16637 37531
197.214.32.0/22,50304,50304 6939 16637 37531
197.214.32.0/22,202365,202365 50673 33891 16637 37531
197.214.32.0/22,58057,58057 174 16637 37531
197.214.32.0/22,4608,4608 6939 16637 37531
197.214.32.0/22,132825,132825 2914 327708 37531
197.214.32.0/22,38001,38001 6939 16637 37531
197.214.32.0/22,50628,50628 6939 16637 37531
197.214.32.0/22,202365,202365 50673 174 16637 37531
197.214.32.0/22,132825,132825 174 16637 37531
197.214.32.0/22,213241,213241 6939 16637 37531
197.214.32.0/22,29504,29504 39392 174 16637 37531
197.214.32.0/22,14907,14907 3356 16637 37531
197.214.32.0/22,29504,29504 15935 174 3356 16637 37531
197.214.32.0/22,45049,45049 6696 2914 327708 37531
197.214.32.0/22,37721,37721 9009 6939 16637 37531
197.214.32.0/22,34927,34927 56655 6939 3356 16637 37531
197.214.32.0/22,22652,22652 174 16637 37531
197.214.32.0/22,55720,55720 6939 3356 16637 37531
197.214.32.0/22,13830,13830 971 174 3356 16637 37531
197.214.32.0/22,202365,202365 50673 174 3356 16637 37531
197.214.32.0/22,34800,34800 58057 50673 174 3356 16637 37531
197.214.32.0/22,49673,49673 3216 6939 16637 37531
197.214.32.0/22,22652,22652 174 3356 16637 37531
197.214.32.0/22,58057,58057 174 3356 16637 37531
197.214.32.0/22,57381,57381 42708 1299 3356 16637 37531
197.214.32.0/22,24482,24482 6453 174 16637 37531
197.214.32.0/22,44393,44393 394256 174 3356 16637 37531
197.214.32.0/22,132825,132825 174 3356 16637 37531
197.214.32.0/22,1403,1403 174 3356 16637 37531
197.214.32.0/22,37721,37721 1299 3356 16637 37531
197.214.32.0/22,38001,38001 6939 1299 174 16637 37531
197.214.32.0/22,34927,34927 52025 174 3356 16637 37531
197.214.32.0/22,3333,3333 1257 174 3356 16637 37531
197.214.32.0/22,3333,3333 3320 174 16637 37531
197.214.32.0/22,204092,204092 30781 1299 174 16637 37531
197.214.32.0/22,24482,24482 37613 36873 37531
197.214.32.0/22,34854,34854 3257 2914 327708 37531
197.214.32.0/22,20205,20205 174 3356 16637 37531
197.214.32.0/22,14907,14907 3356 2914 327708 37531
197.214.32.0/22,14907,14907 2914 327708 37531
197.214.32.0/22,852,852 174 3356 16637 37531
197.214.32.0/22,34927,34927 56655 6939 1299 174 16637 37531
197.214.32.0/22,34927,34927 56655 1299 6939 16637 37531
197.214.32.0/22,48185,48185 1299 6939 16637 37531
197.214.32.0/22,55720,55720 2914 327708 37531
197.214.32.0/22,55720,55720 9930 6453 174 16637 37531
197.214.32.0/22,204092,204092 30781 2914 327708 37531
197.214.32.0/22,204092,204092 34019 35625 3257 3356 16637 37531
197.214.32.0/22,20514,20514 2119 3356 2914 327708 37531
197.214.32.0/22,204092,204092 34019 30781 1299 174 16637 37531
197.214.32.0/22,57381,57381 50304 1299 6939 16637 37531
197.214.32.0/22,50304,50304 1299 6939 16637 37531
197.214.32.0/22,57821,57821 12586 3257 174 24691 37613 36873 37531
197.214.32.0/22,14907,14907 1299 174 24691 37613 36873 37531
197.214.32.0/22,34854,34854 1299 174 24691 37613 36873 37531
197.214.32.0/22,34927,34927 56655 1299 174 24691 37613 36873 37531
197.214.32.0/22,7018,7018 174 24691 37613 36873 37531
197.214.32.0/22,50628,50628 1299 174 24691 37613 36873 37531
197.214.32.0/22,29504,29504 15935 174 24691 37613 36873 37531
