timestamp,prefix,peer_asn,as_path
1763643454,113.20.40.0/22,49673,49673 20485 1299 7029
1763645849,113.20.40.0/22,44393,44393 394256 174 397373
1763645864,113.20.40.0/22,44393,44393 394256 174 397373
1763647249,113.20.40.0/22,44393,44393 58057 53356 394256 174 397373
1763647258,113.20.40.0/22,44393,44393 58057 6939 6453 7029
1763647265,113.20.40.0/22,44393,44393 394256 174 397373
1763649724,113.20.40.0/22,44393,44393 58057 6939 7029
1763649724,113.20.40.0/22,61218,61218 6939 7029
1763649739,113.20.40.0/22,4608,4608 7575 6461 7029
1763649752,113.20.40.0/22,55720,55720 6939 7029
1763658761,113.20.40.0/22,48185,48185 1299 7029
1763658761,113.20.40.0/22,17639,17639 6939 7029
1763658770,113.20.40.0/22,1403,1403 1299 7029
1763658771,113.20.40.0/22,34927,34927 52025 1299 7029
1763658781,113.20.40.0/22,202365,202365 50673 6453 7029
1763658781,113.20.40.0/22,57821,57821 12586 3257 174 397373
1763658781,113.20.40.0/22,34800,34800 58057 50673 6453 7029
1763658782,113.20.40.0/22,50300,50300 174 397373
1763658789,113.20.40.0/22,50300,50300 3257 3356 397373
1763658790,113.20.40.0/22,14907,14907 1299 7029
1763658790,113.20.40.0/22,55720,55720 2914 1299 7029
1763658791,113.20.40.0/22,15562,15562 2914 3356 397373
1763658791,113.20.40.0/22,15562,15562 2914 3356 397373
1763658791,113.20.40.0/22,3549,3549 3356 1299 7029
1763658793,113.20.40.0/22,15562,15562 2914 3356 397373
1763658794,113.20.40.0/22,216285,216285 8280 6762 174 397373
1763658799,113.20.40.0/22,15562,15562 2914 6453 7029
1763658800,113.20.40.0/22,57821,57821 12586 3257 1299 7029
1763658800,113.20.40.0/22,58057,58057 1836 1299 7029
1763658811,113.20.40.0/22,216285,216285 8280 6762 1299 7029
1763658827,113.20.40.0/22,132825,132825 174 1299 7029
1763658849,113.20.40.0/22,328840,328840 327727 174 1299 7029
1763658946,113.20.40.0/22,13830,13830 971 174 1299 7029
1763659023,113.20.40.0/22,50300,50300 3257 1299 7029
1763678024,113.20.40.0/22,15562,15562 2914 6461 7029
1763678046,113.20.40.0/22,15562,15562 2914 6453 7029
1763678529,113.20.40.0/22,204092,204092 30781 6461 7029
1763680208,113.20.40.0/22,17639,17639 6939 7029
1763681441,113.20.40.0/22,204092,204092 30781 6461 7029
