prefix,peer_asn,as_path
113.20.40.0/22,34549,34549 174 397373
113.20.40.0/22,37721,37721 174 397373
113.20.40.0/22,49432,49432 48362 1299 174 397373
113.20.40.0/22,58057,58057 174 397373
113.20.40.0/22,38001,38001 3491 174 397373
113.20.40.0/22,202365,202365 50673 174 397373
113.20.40.0/22,22652,22652 174 397373
113.20.40.0/22,44393,44393 394256 174 397373
113.20.40.0/22,204092,204092 30781 3356 397373
113.20.40.0/22,15562,15562 2914 3356 397373
113.20.40.0/22,34800,34800 58057 50673 174 397373
113.20.40.0/22,55720,55720 6939 3356 397373
113.20.40.0/22,50628,50628 3356 397373
113.20.40.0/22,45049,45049 6696 2914 3356 397373
113.20.40.0/22,34927,34927 56655 1299 3356 397373
113.20.40.0/22,3333,3333 1257 174 397373
113.20.40.0/22,3549,3549 3356 397373
113.20.40.0/22,59919,59919 9002 3356 397373
113.20.40.0/22,206499,206499 34549 174 397373
113.20.40.0/22,13830,13830 971 174 397373
113.20.40.0/22,1403,1403 174 397373
113.20.40.0/22,4608,4608 4826 3356 397373
113.20.40.0/22,14907,14907 3356 397373
113.20.40.0/22,34854,34854 1299 174 397373
113.20.40.0/22,50304,50304 1299 3356 397373
113.20.40.0/22,50300,50300 3356 397373
113.20.40.0/22,58057,58057 34549 174 397373
113.20.40.0/22,17639,17639 3356 397373
113.20.40.0/22,20205,20205 174 397373
113.20.40.0/22,34927,34927 52025 174 397373
113.20.40.0/22,57381,57381 50304 1299 3356 397373
113.20.40.0/22,24482,24482 2914 3356 397373
113.20.40.0/22,213241,213241 9002 3356 397373
113.20.40.0/22,328840,328840 327727 174 397373
113.20.40.0/22,29504,29504 15935 174 397373
113.20.40.0/22,57821,57821 12586 3257 3356 397373
113.20.40.0/22,7018,7018 3356 397373
113.20.40.0/22,216285,216285 8280 6762 174 397373
113.20.40.0/22,61218,61218 6939 3356 397373
113.20.40.0/22,48185,48185 3356 397373
113.20.40.0/22,20514,20514 1299 174 397373
113.20.40.0/22,132825,132825 174 397373
113.20.40.0/22,49673,49673 3216 3356 397373
113.20.40.0/22,852,852 174 397373
