timestamp,prefix,peer_asn,as_path
1763675271,103.31.133.0/24,208972,208972 6939 55655 131749
1763675271,103.31.132.0/24,208972,208972 6939 55655 131749
1763675358,103.31.132.0/23,208972,208972 6939 55655 131749
1763679920,103.31.132.0/23,37721,37721 6939 55655 131749
1763679938,103.31.132.0/24,37721,37721 6939 55655 131749
1763679938,103.31.133.0/24,37721,37721 6939 55655 131749
1763680030,103.31.132.0/23,37721,37721 6939 55655 131749
1763680031,103.31.132.0/24,37721,37721 6939 55655 131749
1763680031,103.31.133.0/24,37721,37721 6939 55655 131749
1763680132,103.31.132.0/23,38855,38855 6939 55655 131749
1763680132,103.31.132.0/24,38855,38855 6939 55655 131749
1763680132,103.31.133.0/24,38855,38855 6939 55655 131749
1763680231,103.31.132.0/23,17639,17639 55655 131749
1763680231,103.31.132.0/24,17639,17639 174 58389 131749
1763680231,103.31.133.0/24,17639,17639 174 58389 131749
1763690928,103.31.132.0/23,38855,38855 6939 55655 131749
1763690928,103.31.132.0/24,38855,38855 6939 55655 131749
1763690928,103.31.133.0/24,38855,38855 6939 55655 131749
1763690937,103.31.132.0/23,55720,55720 6939 55655 131749
1763690964,103.31.133.0/24,55720,55720 6939 55655 131749
1763690965,103.31.132.0/24,55720,55720 6939 55655 131749
1763709646,103.31.132.0/23,7018,7018 3356 58552 131749
1763709646,103.31.132.0/24,48185,48185 6461 7473 58552 131749
1763709646,103.31.133.0/24,48185,48185 6461 7473 58552 131749
1763709647,103.31.133.0/24,7018,7018 3356 58552 131749
1763709647,103.31.132.0/24,7018,7018 3356 58552 131749
1763709647,103.31.133.0/24,34549,34549 6461 7473 58552 131749
1763709647,103.31.132.0/24,34549,34549 6461 7473 58552 131749
1763709647,103.31.132.0/23,34549,34549 6461 7473 58552 131749
1763709647,103.31.132.0/23,3333,3333 6939 55655 131749
1763709647,103.31.132.0/24,3333,3333 9002 58552 131749
1763709647,103.31.133.0/24,3333,3333 9002 58552 131749
1763709647,103.31.132.0/24,216285,216285 8280 6762 174 58389 131749
1763709647,103.31.133.0/24,216285,216285 8280 6762 174 58389 131749
1763709648,103.31.132.0/23,216285,216285 8280 6762 174 58389 131749
1763709648,103.31.132.0/24,216285,216285 8280 6762 174 58389 131749
1763709648,103.31.133.0/24,216285,216285 8280 6762 174 58389 131749
1763709648,103.31.132.0/23,216285,216285 8280 6762 174 58389 131749
1763709649,103.31.132.0/23,216285,216285 8280 6762 9002 58552 131749
1763709649,103.31.132.0/24,216285,216285 8280 6762 9002 58552 131749
1763709649,103.31.133.0/24,216285,216285 8280 6762 9002 58552 131749
1763709650,103.31.132.0/24,3549,3549 3356 58552 131749
1763709650,103.31.133.0/24,3549,3549 3356 58552 131749
1763709650,103.31.132.0/23,3549,3549 3356 58552 131749
1763709655,103.31.132.0/24,49673,49673 20485 174 58552 131749
1763709655,103.31.133.0/24,49673,49673 20485 174 58552 131749
1763709661,103.31.133.0/24,202365,202365 50673 174 58552 131749
1763709661,103.31.132.0/24,202365,202365 50673 174 58552 131749
1763709661,103.31.132.0/23,202365,202365 50673 174 58552 131749
1763709662,103.31.132.0/24,17639,17639 174 58552 131749
1763709662,103.31.133.0/24,17639,17639 174 58552 131749
1763709667,103.31.132.0/23,58057,58057 174 58552 131749
1763709667,103.31.133.0/24,58057,58057 174 58552 131749
1763709667,103.31.132.0/24,58057,58057 174 58552 131749
1763709668,103.31.133.0/24,20514,20514 2119 3356 58552 131749
1763709668,103.31.132.0/24,20514,20514 2119 3356 58552 131749
1763709669,103.31.132.0/24,55720,55720 3491 58552 131749
