prefix,peer_asn,as_path
5.206.240.0/20,57821,57821 12586 9002 57332
5.206.240.0/20,37989,37989 4844 2914 9002 57332
5.206.240.0/20,50304,50304 42708 9002 57332
5.206.240.0/20,57381,57381 42708 9002 57332
5.206.240.0/20,50300,50300 9002 57332
5.206.240.0/20,29608,29608 3356 9002 57332
5.206.240.0/20,22652,22652 3257 57332
5.206.240.0/20,45896,45896 3356 9002 57332
5.206.240.0/20,7018,7018 3257 57332
5.206.240.0/20,4608,4608 1221 4637 3257 57332
5.206.240.0/20,4777,4777 2497 3257 57332
5.206.240.0/20,1836,1836 9002 57332
5.206.240.0/20,3333,3333 9002 57332
5.206.240.0/20,3549,3549 3356 9002 57332
5.206.240.0/20,3257,3257 57332
5.206.240.0/20,8758,8758 9002 57332
5.206.240.0/21,4608,4608 24130 7545 6939 57332
5.206.240.0/21,3333,3333 1136 24785 6939 57332
5.206.248.0/21,4608,4608 24130 7545 6939 57332
5.206.248.0/21,3333,3333 1136 24785 6939 57332
5.206.240.0/20,3333,3333 3257 57332
5.206.240.0/20,7018,7018 2914 9002 57332
5.206.240.0/20,7018,7018 3356 9002 57332
5.206.240.0/20,3257,3257 9002 57332
5.206.240.0/20,22652,22652 3356 9002 57332
5.206.240.0/20,4777,4777 2497 9002 57332
5.206.240.0/20,4608,4608 1221 4637 9002 57332
