prefix,peer_asn,as_path
204.92.234.0/23,34549,34549 174 14843
204.92.234.0/23,37721,37721 174 14843
204.92.234.0/23,49432,49432 48362 1299 174 14843
204.92.234.0/23,58057,58057 174 14843
204.92.234.0/23,38001,38001 3491 174 14843
204.92.234.0/23,202365,202365 50673 174 14843
204.92.234.0/23,22652,22652 174 14843
204.92.234.0/23,44393,44393 394256 174 14843
204.92.234.0/23,204092,204092 30781 3356 174 14843
204.92.234.0/23,15562,15562 2914 174 14843
204.92.234.0/23,34800,34800 58057 50673 174 14843
204.92.234.0/23,55720,55720 6939 1299 174 14843
204.92.234.0/23,50628,50628 1299 174 14843
204.92.234.0/23,45049,45049 6696 1299 174 14843
204.92.234.0/23,34927,34927 56655 1299 174 14843
204.92.234.0/23,3333,3333 3320 174 14843
204.92.234.0/23,3549,3549 3356 174 14843
204.92.234.0/23,59919,59919 41327 174 14843
204.92.234.0/23,206499,206499 34549 174 14843
204.92.234.0/23,13830,13830 971 174 14843
204.92.234.0/23,1403,1403 174 14843
204.92.234.0/23,4608,4608 7575 2914 174 14843
204.92.234.0/23,14907,14907 3356 174 14843
204.92.234.0/23,34854,34854 3257 174 14843
204.92.234.0/23,50304,50304 1299 174 14843
204.92.234.0/23,50300,50300 174 14843
204.92.234.0/23,58057,58057 34549 174 14843
204.92.234.0/23,17639,17639 174 14843
204.92.234.0/23,20205,20205 174 14843
204.92.234.0/23,34927,34927 52025 174 14843
204.92.234.0/23,57381,57381 50304 1299 174 14843
204.92.234.0/23,24482,24482 6453 174 14843
204.92.234.0/23,328840,328840 327727 174 14843
204.92.234.0/23,29504,29504 15935 174 14843
204.92.234.0/23,57821,57821 12586 3257 174 14843
204.92.234.0/23,7018,7018 174 14843
204.92.234.0/23,216285,216285 8280 6762 174 14843
204.92.234.0/23,61218,61218 6939 1299 174 14843
204.92.234.0/23,48185,48185 3356 174 14843
204.92.234.0/23,20514,20514 1299 174 14843
204.92.234.0/23,132825,132825 174 14843
204.92.234.0/23,55720,55720 3491 174 14843
204.92.234.0/23,49673,49673 20485 174 14843
204.92.234.0/23,852,852 174 14843
