timestamp,prefix,peer_asn,as_path
1758426229,204.92.234.0/23,328840,328840 327727 174 14843
1758429797,204.92.234.0/23,29504,29504 15935 174 14843
1758429797,204.92.234.0/23,29504,29504 15935 9002 3356 174 14843
1758429799,204.92.234.0/23,202365,202365 50673 6453 174 14843
1758429799,204.92.234.0/23,34800,34800 58057 50673 6453 174 14843
1758429801,204.92.234.0/23,20205,20205 1299 174 14843
1758429804,204.92.234.0/23,13830,13830 3356 174 14843
1758429806,204.92.234.0/23,59919,59919 41327 174 14843
1758429806,204.92.234.0/23,7018,7018 174 14843
1758429807,204.92.234.0/23,216285,216285 8280 6762 174 14843
1758429809,204.92.234.0/23,24482,24482 6453 174 14843
1758429811,204.92.234.0/23,206499,206499 34549 6830 174 14843
1758429811,204.92.234.0/23,34549,34549 6830 174 14843
1758429811,204.92.234.0/23,13830,13830 3356 174 14843
1758429811,204.92.234.0/23,58057,58057 34549 6830 174 14843
1758429812,204.92.234.0/23,7018,7018 174 14843
1758429812,204.92.234.0/23,206499,206499 34549 2914 174 14843
1758429812,204.92.234.0/23,34549,34549 2914 174 14843
1758429812,204.92.234.0/23,37721,37721 1299 174 14843
1758429812,204.92.234.0/23,58057,58057 34549 2914 174 14843
1758429812,204.92.234.0/23,1403,1403 1299 174 14843
1758429813,204.92.234.0/23,44393,44393 394256 174 14843
1758429813,204.92.234.0/23,44393,44393 394256 174 14843
1758429813,204.92.234.0/23,37721,37721 1299 174 14843
1758429813,204.92.234.0/23,48185,48185 3356 174 14843
1758429813,204.92.234.0/23,34927,34927 52025 174 14843
1758429813,204.92.234.0/23,34927,34927 12186 174 14843
1758429813,204.92.234.0/23,34927,34927 52025 64289 174 14843
1758429814,204.92.234.0/23,204092,204092 30781 3356 174 14843
1758429815,204.92.234.0/23,58057,58057 1836 174 14843
1758429815,204.92.234.0/23,48185,48185 3356 174 14843
1758429815,204.92.234.0/23,58057,58057 1836 3356 174 14843
1758429816,204.92.234.0/23,17639,17639 3491 174 14843
1758429817,204.92.234.0/23,55720,55720 3491 174 14843
1758429818,204.92.234.0/23,44393,44393 394256 6327 174 14843
1758429818,204.92.234.0/23,48185,48185 3356 174 14843
1758429819,204.92.234.0/23,852,852 3257 174 14843
1758429819,204.92.234.0/23,7018,7018 174 14843
1758429819,204.92.234.0/23,4608,4608 7575 2914 174 14843
1758429820,204.92.234.0/23,13830,13830 3356 174 14843
1758429820,204.92.234.0/23,132825,132825 2914 174 14843
1758429820,204.92.234.0/23,206499,206499 34549 6830 174 14843
1758429820,204.92.234.0/23,22652,22652 1299 174 14843
1758429820,204.92.234.0/23,34549,34549 6830 174 14843
1758429820,204.92.234.0/23,15562,15562 2914 174 14843
1758429820,204.92.234.0/23,58057,58057 34549 6830 174 14843
1758429821,204.92.234.0/23,216285,216285 8280 6762 174 14843
1758429821,204.92.234.0/23,49673,49673 12389 174 14843
1758429821,204.92.234.0/23,49673,49673 12389 174 14843
1758429821,204.92.234.0/23,49673,49673 3216 3356 174 14843
1758429821,204.92.234.0/23,48185,48185 3356 174 14843
1758429821,204.92.234.0/23,20205,20205 1299 174 14843
1758429821,204.92.234.0/23,24482,24482 6453 174 14843
1758429822,204.92.234.0/23,44393,44393 35710 4809 1299 174 14843
1758429822,204.92.234.0/23,48185,48185 3356 174 14843
1758429822,204.92.234.0/23,14907,14907 1299 174 14843
1758429822,204.92.234.0/23,20205,20205 1299 174 14843
1758429822,204.92.234.0/23,20205,20205 1299 174 14843
1758429822,204.92.234.0/23,24482,24482 6453 174 14843
1758429823,204.92.234.0/23,13830,13830 3356 174 14843
1758429823,204.92.234.0/23,13830,13830 3356 174 14843
1758429823,204.92.234.0/23,29504,29504 15935 9002 3356 174 14843
1758429823,204.92.234.0/23,58057,58057 1836 1299 174 14843
1758429823,204.92.234.0/23,48185,48185 1299 174 14843
1758429823,204.92.234.0/23,14907,14907 1299 174 14843
1758429823,204.92.234.0/23,14907,14907 1299 174 14843
1758429823,204.92.234.0/23,14907,14907 1299 174 14843
1758429823,204.92.234.0/23,38001,38001 3491 174 14843
1758429823,204.92.234.0/23,20205,20205 1299 174 14843
1758429823,204.92.234.0/23,20205,20205 1299 174 14843
1758429823,204.92.234.0/23,34927,34927 52025 32097 174 14843
1758429823,204.92.234.0/23,34927,34927 52025 3257 174 14843
1758429824,204.92.234.0/23,49673,49673 3216 1299 174 14843
1758429824,204.92.234.0/23,29504,29504 15935 1299 174 14843
1758429825,204.92.234.0/23,37721,37721 1299 174 14843
1758429826,204.92.234.0/23,34549,34549 6830 174 14843
1758429826,204.92.234.0/23,58057,58057 34549 6830 174 14843
1758429827,204.92.234.0/23,202365,202365 50673 6830 174 14843
1758429827,204.92.234.0/23,57821,57821 12586 1299 174 14843
1758429827,204.92.234.0/23,34800,34800 58057 50673 6830 174 14843
1758429827,204.92.234.0/23,34927,34927 52025 1299 174 14843
1758429828,204.92.234.0/23,34854,34854 3320 174 14843
1758429828,204.92.234.0/23,206499,206499 34549 6830 174 14843
1758429828,204.92.234.0/23,852,852 1299 174 14843
1758429828,204.92.234.0/23,49432,49432 48362 1764 1299 174 14843
1758429828,204.92.234.0/23,57821,57821 12586 1299 174 14843
1758429828,204.92.234.0/23,37721,37721 1299 174 14843
1758429828,204.92.234.0/23,29504,29504 15935 1299 174 14843
1758429828,204.92.234.0/23,29504,29504 39392 1299 174 14843
1758429829,204.92.234.0/23,1403,1403 6461 174 14843
1758429829,204.92.234.0/23,34927,34927 56655 6939 1299 174 14843
1758429829,204.92.234.0/23,37721,37721 1299 174 14843
1758429829,204.92.234.0/23,34927,34927 52025 64289 6461 174 14843
1758429832,204.92.234.0/23,44393,44393 394256 54527 6327 174 14843
1758429833,204.92.234.0/23,1403,1403 577 6453 174 14843
1758429834,204.92.234.0/23,206499,206499 34549 3320 174 14843
1758429834,204.92.234.0/23,44393,44393 394256 54527 6327 174 14843
1758429834,204.92.234.0/23,44393,44393 58057 50673 6830 174 14843
1758429834,204.92.234.0/23,34549,34549 3320 174 14843
1758429834,204.92.234.0/23,3333,3333 1136 6830 174 14843
1758429834,204.92.234.0/23,58057,58057 34549 3320 174 14843
1758429834,204.92.234.0/23,1403,1403 6461 174 14843
1758429834,204.92.234.0/23,24482,24482 6453 174 14843
1758429837,204.92.234.0/23,1403,1403 577 6453 174 14843
1758429838,204.92.234.0/23,59919,59919 12779 3257 174 14843
1758429842,204.92.234.0/23,1403,1403 6461 174 14843
1758429844,204.92.234.0/23,204092,204092 34019 35625 5511 174 14843
1758429845,204.92.234.0/23,17639,17639 5511 174 14843
1758429846,204.92.234.0/23,204092,204092 34019 8218 6461 174 14843
1758429846,204.92.234.0/23,55720,55720 9930 6453 174 14843
1758429846,204.92.234.0/23,57381,57381 42708 1299 174 14843
1758429849,204.92.234.0/23,50628,50628 35280 6453 174 14843
1758429850,204.92.234.0/23,4608,4608 7575 6461 174 14843
1758429853,204.92.234.0/23,38001,38001 7473 6461 174 14843
1758429857,204.92.234.0/23,59919,59919 9002 3257 32613
1758429857,204.92.234.0/23,202365,202365 50673 6453 3257 32613
1758429857,204.92.234.0/23,7018,7018 3257 32613
1758429857,204.92.234.0/23,44393,44393 58057 50673 6453 3257 32613
1758429857,204.92.234.0/23,44393,44393 58057 6939 1299 3257 32613
1758429857,204.92.234.0/23,44393,44393 394256 36236 3257 32613
1758429857,204.92.234.0/23,44393,44393 394256 63213 3257 32613
1758429857,204.92.234.0/23,852,852 3257 32613
1758429857,204.92.234.0/23,13830,13830 3356 3257 32613
1758429857,204.92.234.0/23,29504,29504 15935 1299 3257 32613
1758429857,204.92.234.0/23,29504,29504 15935 1299 3257 32613
1758429857,204.92.234.0/23,3333,3333 1103 3257 32613
1758429857,204.92.234.0/23,58057,58057 1836 1299 3257 32613
1758429857,204.92.234.0/23,57821,57821 12586 1299 3257 32613
1758429857,204.92.234.0/23,57821,57821 12586 3257 32613
1758429857,204.92.234.0/23,34800,34800 58057 50673 6453 3257 32613
1758429857,204.92.234.0/23,48185,48185 1299 3257 32613
1758429857,204.92.234.0/23,48185,48185 3356 3257 32613
1758429857,204.92.234.0/23,14907,14907 1299 3257 32613
1758429857,204.92.234.0/23,34854,34854 1299 3257 32613
1758429857,204.92.234.0/23,34854,34854 1299 3257 32613
1758429857,204.92.234.0/23,34854,34854 3257 32613
1758429857,204.92.234.0/23,206499,206499 34549 3257 32613
1758429857,204.92.234.0/23,34549,34549 1299 3257 32613
1758429857,204.92.234.0/23,34549,34549 3257 32613
1758429857,204.92.234.0/23,29504,29504 15935 174 3257 32613
1758429857,204.92.234.0/23,49432,49432 48362 1299 3257 32613
1758429857,204.92.234.0/23,58057,58057 34549 3257 32613
1758429857,204.92.234.0/23,58057,58057 34549 3257 32613
1758429857,204.92.234.0/23,1403,1403 1299 3257 32613
1758429857,204.92.234.0/23,34927,34927 52025 3257 32613
1758429857,204.92.234.0/23,20205,20205 6939 1299 3257 32613
1758429857,204.92.234.0/23,20205,20205 1299 3257 32613
1758429858,204.92.234.0/23,59919,59919 9002 3257 32613
1758429858,204.92.234.0/23,22652,22652 3257 32613
1758429858,204.92.234.0/23,216285,216285 8280 6762 3257 32613
1758429858,204.92.234.0/23,204092,204092 34019 8218 6461 3257 32613
1758429858,204.92.234.0/23,49673,49673 12389 1299 3257 32613
1758429858,204.92.234.0/23,49673,49673 12389 1299 3257 32613
1758429858,204.92.234.0/23,49673,49673 20485 1299 3257 32613
1758429858,204.92.234.0/23,13830,13830 3356 3257 32613
1758429858,204.92.234.0/23,37721,37721 1299 3257 32613
1758429858,204.92.234.0/23,37721,37721 3257 32613
1758429858,204.92.234.0/23,61218,61218 6939 1299 3257 32613
1758429858,204.92.234.0/23,24482,24482 2914 3257 32613
1758429858,204.92.234.0/23,24482,24482 2914 3257 32613
1758429858,204.92.234.0/23,24482,24482 2914 3257 32613
1758429859,204.92.234.0/23,34927,34927 56655 1299 3257 32613
1758429859,204.92.234.0/23,15562,15562 2914 3257 32613
1758429860,204.92.234.0/23,58057,58057 1836 3356 3257 32613
1758429860,204.92.234.0/23,14907,14907 3356 3257 32613
1758429862,204.92.234.0/23,213241,213241 9002 3257 32613
1758429862,204.92.234.0/23,13830,13830 3356 3257 32613
1758429864,204.92.234.0/23,13830,13830 971 174 3257 32613
1758429864,204.92.234.0/23,3549,3549 3356 3257 32613
1758429868,204.92.234.0/23,49673,49673 12389 3257 32613
1758429868,204.92.234.0/23,49673,49673 12389 3257 32613
1758429872,204.92.234.0/23,45049,45049 6696 2914 3257 32613
1758429874,204.92.234.0/23,204092,204092 30781 3356 3257 32613
1758429875,204.92.234.0/23,17639,17639 9304 3257 32613
1758429875,204.92.234.0/23,58057,58057 174 3257 32613
1758429876,204.92.234.0/23,50304,50304 1299 3257 32613
1758429876,204.92.234.0/23,20514,20514 1299 3257 32613
1758429876,204.92.234.0/23,57381,57381 50304 1299 3257 32613
1758429877,204.92.234.0/23,55720,55720 6939 1299 3257 32613
1758429879,204.92.234.0/23,55720,55720 3257 32613
1758429879,204.92.234.0/23,50628,50628 1299 3257 32613
1758429881,204.92.234.0/23,132825,132825 2914 3257 32613
1758429881,204.92.234.0/23,4608,4608 4826 3257 32613
1758429883,204.92.234.0/23,49673,49673 12389 3257 32613
1758429884,204.92.234.0/23,202365,202365 50673 174 3257 32613
1758429884,204.92.234.0/23,34800,34800 58057 50673 174 3257 32613
1758429884,204.92.234.0/23,38001,38001 3491 3257 32613
1758429889,204.92.234.0/23,14907,14907 3356 3257 32613
1758429895,204.92.234.0/23,3549,3549 3356 3257 32613
1758429902,204.92.234.0/23,328840,328840 327727 174 3257 32613
1758429912,204.92.234.0/23,132825,132825 174 3257 32613
1758429927,204.92.234.0/23,3549,3549 3356 3257 32613
1758430058,204.92.234.0/23,50300,50300 3257 174 14843
1758430104,204.92.234.0/23,50300,50300 3257 32613
1758430509,204.92.234.0/23,328840,328840 327727 174 3257 32613
1758450514,204.92.234.0/23,328840,328840 327727 174 3257 32613
