prefix,peer_asn,as_path
108.171.108.0/23,34549,34549 6830 137409 140952
108.171.108.0/23,38001,38001 137409 140952
108.171.108.0/23,202365,202365 50673 33891 137409 140952
108.171.108.0/23,44393,44393 58057 6939 137409 140952
108.171.108.0/23,204092,204092 34019 3303 6939 137409 140952
108.171.108.0/23,34800,34800 58057 50673 33891 137409 140952
108.171.108.0/23,50628,50628 35280 137409 140952
108.171.108.0/23,34927,34927 56655 6939 137409 140952
108.171.108.0/23,3333,3333 1136 6830 137409 140952
108.171.108.0/23,206499,206499 34549 6830 137409 140952
108.171.108.0/23,4608,4608 4826 137409 140952
108.171.108.0/23,202365,202365 206499 34549 6830 137409 140952
108.171.108.0/23,58057,58057 34549 6830 137409 140952
108.171.108.0/23,17639,17639 137409 140952
108.171.108.0/23,20205,20205 6939 137409 140952
108.171.108.0/23,61292,61292 137409 140952
108.171.108.0/23,24482,24482 137409 140952
108.171.108.0/23,61218,61218 6939 137409 140952
108.171.108.0/23,20514,20514 2119 137409 140952
108.171.108.0/24,34549,34549 6830 137409 140952
108.171.108.0/24,37721,37721 6830 137409 140952
108.171.108.0/24,202365,202365 50673 6830 137409 140952
108.171.108.0/24,44393,44393 150369 17676 137409 140952
108.171.108.0/24,204092,204092 34019 29169 35280 137409 140952
108.171.108.0/24,34800,34800 58057 50673 6830 137409 140952
108.171.108.0/24,50628,50628 35280 137409 140952
108.171.108.0/24,34927,34927 6830 137409 140952
108.171.108.0/24,3333,3333 1136 6830 137409 140952
108.171.108.0/24,206499,206499 34549 6830 137409 140952
108.171.108.0/24,4608,4608 4826 15412 137409 140952
108.171.108.0/24,202365,202365 206499 34549 6830 137409 140952
108.171.108.0/24,58057,58057 34549 6830 137409 140952
108.171.108.0/24,17639,17639 2856 137409 140952
108.171.108.0/24,24482,24482 4775 137409 140952
108.171.108.0/24,20514,20514 2119 137409 140952
108.171.109.0/24,34549,34549 6830 137409 140952
108.171.109.0/24,37721,37721 6830 137409 140952
108.171.109.0/24,202365,202365 50673 6830 137409 140952
108.171.109.0/24,44393,44393 150369 17676 137409 140952
108.171.109.0/24,204092,204092 34019 29169 35280 137409 140952
108.171.109.0/24,34800,34800 58057 50673 6830 137409 140952
108.171.109.0/24,50628,50628 35280 137409 140952
108.171.109.0/24,34927,34927 6830 137409 140952
108.171.109.0/24,3333,3333 1136 6830 137409 140952
108.171.109.0/24,206499,206499 34549 6830 137409 140952
108.171.109.0/24,4608,4608 4826 15412 137409 140952
108.171.109.0/24,202365,202365 206499 34549 6830 137409 140952
108.171.109.0/24,58057,58057 34549 6830 137409 140952
108.171.109.0/24,17639,17639 2856 137409 140952
108.171.109.0/24,24482,24482 4775 137409 140952
108.171.109.0/24,20514,20514 2119 137409 140952
