prefix,peer_asn,as_path
194.99.25.0/24,328474,328474 328112 37271 174 36352
194.99.25.0/24,131477,131477 54574 174 36352
194.99.25.0/24,55720,55720 2914 174 36352
194.99.25.0/24,7018,7018 1299 36352
194.99.25.0/24,174,174 36352
194.99.25.0/24,49752,49752 34549 1299 36352
194.99.25.0/24,34553,34553 59432 3257 36352
194.99.25.0/24,852,852 1299 36352
194.99.25.0/24,13830,13830 174 36352
194.99.25.0/24,37721,37721 3257 36352
194.99.25.0/24,15562,15562 2914 1299 36352
194.99.25.0/24,50300,50300 3257 36352
194.99.25.0/24,50628,50628 1299 36352
194.99.25.0/24,48821,48821 50629 1299 36352
194.99.25.0/24,29504,29504 15935 174 36352
194.99.25.0/24,206313,206313 50629 1299 36352
194.99.25.0/24,49432,49432 34347 1299 36352
194.99.25.0/24,47251,47251 48362 1764 174 36352
194.99.25.0/24,3333,3333 1257 1299 36352
194.99.25.0/24,39351,39351 1299 36352
194.99.25.0/24,57381,57381 42708 1299 36352
194.99.25.0/24,57821,57821 12586 3257 36352
194.99.25.0/24,3320,3320 3257 36352
194.99.25.0/24,34872,34872 50629 1299 36352
194.99.25.0/24,202365,202365 39533 13030 1299 36352
194.99.25.0/24,58057,58057 34549 1299 36352
194.99.25.0/24,61218,61218 24961 3257 36352
194.99.25.0/24,34800,34800 58057 174 36352
194.99.25.0/24,6881,6881 15685 1299 36352
194.99.25.0/24,1403,1403 174 36352
194.99.25.0/24,34854,34854 1299 36352
194.99.25.0/24,17639,17639 174 36352
194.99.25.0/24,4608,4608 4826 3257 36352
194.99.25.0/24,37989,37989 56300 132132 1299 36352
194.99.25.0/24,3549,3549 3356 1299 36352
194.99.25.0/24,14907,14907 1299 36352
194.99.25.0/24,8758,8758 174 36352
194.99.25.0/24,20514,20514 1299 36352
194.99.25.0/24,49134,49134 53356 6939 1299 36352
194.99.25.0/24,26073,26073 6939 1299 36352
194.99.25.0/24,44393,44393 58057 174 36352
194.99.25.0/24,208709,208709 34872 50629 1299 36352
194.99.25.0/24,50304,50304 1299 36352
194.99.25.0/24,132825,132825 2914 1299 36352
194.99.25.0/24,55720,55720 4637 3257 36352
194.99.25.0/24,139589,139589 58299 174 36352
194.99.25.0/24,206499,206499 50629 1299 36352
194.99.25.0/24,44103,44103 57866 1299 36352
194.99.25.0/24,22652,22652 3257 36352
194.99.25.0/24,59919,59919 41327 1299 36352
194.99.25.0/24,202365,202365 57866 1299 36352
194.99.25.0/24,20205,20205 174 36352
194.99.25.0/24,32097,32097 174 36352
194.99.25.0/24,11708,11708 32097 174 36352
194.99.25.0/24,34549,34549 1299 36352
194.99.25.0/24,204092,204092 174 36352
194.99.25.0/24,49420,49420 8374 174 36352
194.99.25.0/24,49102,49102 9002 3257 36352
194.99.25.0/24,205148,205148 9002 3257 36352
194.99.25.0/24,60474,60474 58057 174 36352
194.99.25.0/24,58057,58057 174 36352
194.99.25.0/24,49673,49673 48858 1299 36352
194.99.25.0/24,34854,34854 3320 3257 36352
