prefix,peer_asn,as_path
97.107.66.0/23,328474,328474 6939 10835 393436
97.107.66.0/23,7018,7018 3356 393436
97.107.66.0/23,174,174 10835 393436
97.107.66.0/23,35619,35619 58057 174 10835 393436
97.107.66.0/23,58057,58057 174 10835 393436
97.107.66.0/23,1836,1836 6939 10835 393436
97.107.66.0/23,15562,15562 2914 3356 393436
97.107.66.0/23,50300,50300 3257 3356 393436
97.107.66.0/23,50304,50304 6461 10835 393436
97.107.66.0/23,64050,64050 2914 3356 393436
97.107.66.0/23,48821,48821 6939 10835 393436
97.107.66.0/23,29504,29504 6939 10835 393436
97.107.66.0/23,202365,202365 62240 6939 10835 393436
97.107.66.0/23,49432,49432 48362 6939 10835 393436
97.107.66.0/23,206499,206499 6939 10835 393436
97.107.66.0/23,205593,205593 6939 10835 393436
97.107.66.0/23,210234,210234 6939 10835 393436
97.107.66.0/23,395152,395152 14007 6939 10835 393436
97.107.66.0/23,3333,3333 6939 10835 393436
97.107.66.0/23,39351,39351 6939 10835 393436
97.107.66.0/23,57381,57381 6939 10835 393436
97.107.66.0/23,57264,57264 60501 196753 3356 393436
97.107.66.0/23,205523,205523 6939 10835 393436
97.107.66.0/23,202365,202365 206499 6939 10835 393436
97.107.66.0/23,6881,6881 6939 10835 393436
97.107.66.0/23,1403,1403 6939 10835 393436
97.107.66.0/23,44794,44794 6939 10835 393436
97.107.66.0/23,38001,38001 6939 10835 393436
97.107.66.0/23,4608,4608 6939 10835 393436
97.107.66.0/23,37989,37989 4844 2914 3356 393436
97.107.66.0/23,3549,3549 3356 393436
97.107.66.0/23,8758,8758 6939 10835 393436
97.107.66.0/23,20514,20514 2119 3356 393436
97.107.66.0/23,396503,396503 53356 6939 10835 393436
97.107.66.0/23,58057,58057 6939 10835 393436
97.107.66.0/23,47422,47422 6939 10835 393436
97.107.66.0/23,22652,22652 6461 10835 393436
97.107.66.0/23,59919,59919 6939 10835 393436
97.107.66.0/23,202365,202365 6939 10835 393436
97.107.66.0/23,32097,32097 6939 10835 393436
97.107.66.0/23,11708,11708 6939 10835 393436
97.107.66.0/23,29608,29608 6939 10835 393436
97.107.66.0/23,34549,34549 6939 10835 393436
97.107.66.0/23,49673,49673 48858 20485 3356 393436
97.107.66.0/23,395766,395766 11478 3356 393436
