timestamp,prefix,peer_asn,as_path
1456049155,161.123.185.0/24,7018,7018 1299 3223 203959
1456049155,161.123.185.0/24,1836,1836 3356 1299 3223 203959
1456049155,161.123.185.0/24,1836,1836 13030 1299 3223 203959
1456049155,161.123.185.0/24,8758,8758 8220 3320 1299 3223 203959
1456049156,161.123.185.0/24,8758,8758 8220 3356 6762 3223 203959
1456049156,161.123.185.0/24,1836,1836 13030 3223 203959
1456049156,161.123.185.0/24,8758,8758 8220 3223 203959
1456049157,161.123.185.0/24,22652,22652 5580 6762 3223 203959
1456049159,161.123.185.0/24,3257,3257 1299 3223 203959
1456049164,161.123.185.0/24,50300,50300 5580 3223 203959
1456049169,161.123.185.0/24,4777,4777 2497 2914 1299 3223 203959
1456049169,161.123.185.0/24,50304,50304 42708 3356 6762 3223 203959
1456049173,161.123.185.0/24,29608,29608 3356 6762 3223 203959
1456049182,161.123.185.0/24,3549,3549 3356 1299 3223 203959
1456049186,161.123.185.0/24,22652,22652 3223 203959
1456049194,161.123.185.0/24,4608,4608 1221 4637 3223 203959
1456049194,161.123.185.0/24,50300,50300 3223 203959
1456049197,161.123.185.0/24,57381,57381 42708 3356 1299 3223 203959
1456049199,161.123.185.0/24,4777,4777 2497 2914 3223 203959
1456049200,161.123.185.0/24,50304,50304 42708 3223 203959
1456049228,161.123.185.0/24,57381,57381 42708 3223 203959
1456049231,161.123.185.0/24,50304,50304 42708 3223 203959
1456069721,161.123.185.0/24,8758,8758 8220 3223 203959
1456069721,161.123.185.0/24,8758,8758 8220 3223 203959
1456069725,161.123.185.0/24,1836,1836 174 1299 3223 203959
1456069744,161.123.185.0/24,50300,50300 5580 6762 3223 203959
1456069747,161.123.185.0/24,8758,8758 15576 8220 3223 203959
1456069747,161.123.185.0/24,8758,8758 6830 1299 3223 203959
1456069747,161.123.185.0/24,7018,7018 1299 3223 203959
1456069748,161.123.185.0/24,3257,3257 1299 3223 203959
1456069759,161.123.185.0/24,1836,1836 174 6762 3223 203959
1456069760,161.123.185.0/24,7018,7018 1299 3223 203959
1456069762,161.123.185.0/24,8758,8758 6830 6762 3223 203959
1456069763,161.123.185.0/24,3257,3257 1299 3223 203959
1456069768,161.123.185.0/24,3549,3549 3356 1299 3223 203959
1456069769,161.123.185.0/24,22652,22652 3223 203959 1229 3257 25761
1456069770,161.123.185.0/24,7018,7018 1299 3223 203959
1456069773,161.123.185.0/24,3257,3257 6762 6762 3223 203959
1456069774,161.123.185.0/24,50300,50300 5580 6762 3223 203959
1456069777,161.123.185.0/24,50304,50304 174 6762 3223 203959
1456069778,161.123.185.0/24,4608,4608 1221 4637 6762 3223 203959
1456069778,161.123.185.0/24,4777,4777 2497 701 1299 3223 203959
1456069783,161.123.185.0/24,57381,57381 50304 42708 3223 203959
1456069799,161.123.185.0/24,3549,3549 3356 6762 3223 203959
1456069808,161.123.185.0/24,4608,4608 1221 4637 3223 203959 1229 3257 25761
1456069814,161.123.185.0/24,57381,57381 50304 174 6762 3223 203959
1456069834,161.123.185.0/24,50300,50300 174 6762 3223 203959
1456069852,161.123.185.0/24,8758,8758 174 6762 3223 203959
1456069869,161.123.185.0/24,50304,50304 42708 3223 203959 1229 3257 25761
1456069875,161.123.185.0/24,8758,8758 8220 5511 6762 3223 203959
1456069882,161.123.185.0/24,8758,8758 15576 174 6762 3223 203959
1456069897,161.123.185.0/24,8758,8758 15576 6772 6730 6730 174 6762 3223 203959
