prefix,peer_asn,as_path
0.0.0.0/0,205206,205206 1299
0.0.0.0/0,6233,6233 1299
0.0.0.0/0,50673,50673 6830
0.0.0.0/0,34019,34019 35280
0.0.0.0/0,3214,3214 3356
0.0.0.0/0,34927,34927
0.0.0.0/0,199524,199524 2914
121.53.0.0/16,1103,1103 2603 3786 9457
121.53.0.0/16,12859,12859 2914 9457
121.53.0.0/16,205206,205206 1299 2914 9457
121.53.0.0/16,3320,3320 2914 9457
121.53.0.0/16,59605,59605 3356 2914 9457
121.53.0.0/16,6233,6233 1299 2914 9457
121.53.0.0/16,39351,39351 174 3786 9457
121.53.0.0/16,206313,206313 50629 2914 9457
121.53.0.0/16,15435,15435 3257 2914 9457
121.53.0.0/16,25160,25160 2914 9457
121.53.0.0/16,47147,47147 2914 9457
121.53.0.0/16,60501,60501 57264 41327 2914 9457
121.53.0.0/16,51088,51088 2914 9457
121.53.0.0/16,41666,41666 34927 6830 2914 9457
121.53.0.0/16,30132,30132 6453 3786 9457
121.53.0.0/16,50673,50673 6461 2914 9457
121.53.0.0/16,34019,34019 35280 2914 9457
121.53.0.0/16,24482,24482 3786 9457
121.53.0.0/16,51185,51185 3356 2914 9457
121.53.0.0/16,3280,3280 39737 3356 2914 9457
121.53.0.0/16,6908,6908 2914 9457
121.53.0.0/16,3214,3214 3257 2914 9457
121.53.0.0/16,199938,199938 1299 2914 9457
121.53.0.0/16,209650,209650 34927 6830 2914 9457
121.53.0.0/16,42541,42541 1299 2914 9457
121.53.0.0/16,34927,34927 6830 2914 9457
121.53.0.0/16,1140,1140 24785 2914 9457
121.53.0.0/16,8218,8218 6461 2914 9457
121.53.0.0/16,50763,50763 8943 2914 9457
121.53.0.0/16,6830,6830 2914 9457
121.53.0.0/16,6453,6453 3786 9457
121.53.0.0/16,199524,199524 2914 9457
121.53.0.0/16,8283,8283 2914 9457
121.53.0.0/16,14907,14907 3320 2914 9457
121.53.0.0/16,29467,29467 2914 9457
121.53.0.0/16,8455,8455 2914 9457
121.53.0.0/17,1103,1103 2603 3786 9457
121.53.0.0/17,12859,12859 2914 9457
121.53.0.0/17,205206,205206 1299 2914 9457
121.53.0.0/17,3320,3320 2914 9457
121.53.0.0/17,59605,59605 3356 2914 9457
121.53.0.0/17,6233,6233 1299 2914 9457
121.53.0.0/17,39351,39351 174 3786 9457
121.53.0.0/17,206313,206313 50629 2914 9457
121.53.0.0/17,15435,15435 3257 2914 9457
121.53.0.0/17,25160,25160 2914 9457
121.53.0.0/17,47147,47147 2914 9457
121.53.0.0/17,60501,60501 57264 41327 2914 9457
121.53.0.0/17,51088,51088 2914 9457
121.53.0.0/17,41666,41666 34927 6830 2914 9457
121.53.0.0/17,30132,30132 6453 3786 9457
121.53.0.0/17,50673,50673 6461 2914 9457
121.53.0.0/17,34019,34019 35280 2914 9457
121.53.0.0/17,24482,24482 3786 9457
121.53.0.0/17,51185,51185 3356 2914 9457
121.53.0.0/17,3280,3280 39737 3356 2914 9457
121.53.0.0/17,6908,6908 2914 9457
121.53.0.0/17,3214,3214 3257 2914 9457
121.53.0.0/17,199938,199938 1299 2914 9457
121.53.0.0/17,209650,209650 34927 6830 2914 9457
121.53.0.0/17,42541,42541 1299 2914 9457
121.53.0.0/17,34927,34927 6830 2914 9457
121.53.0.0/17,1140,1140 24785 2914 9457
121.53.0.0/17,8218,8218 6461 2914 9457
121.53.0.0/17,6830,6830 2914 9457
121.53.0.0/17,6453,6453 3786 9457
121.53.0.0/17,199524,199524 2914 9457
121.53.0.0/17,8283,8283 2914 9457
121.53.0.0/17,14907,14907 3320 2914 9457
121.53.0.0/17,29467,29467 2914 9457
121.53.0.0/17,8455,8455 2914 9457
