timestamp,prefix,peer_asn,as_path
1530279999,101.124.128.0/18,3333,3333 1273 174 197426
1530280000,101.124.128.0/18,1836,1836 13030 1299 174 197426
1530280001,101.124.128.0/18,64050,64050 1299 174 197426
1530280001,101.124.128.0/18,64050,64050 2914 174 197426
1530280001,101.124.128.0/18,8758,8758 8220 3320 174 197426
1530280001,101.124.128.0/18,15562,15562 2914 174 197426
1530280002,101.124.128.0/18,64050,64050 2914 174 197426
1530280002,101.124.128.0/18,3257,3257 174 197426
1530280002,101.124.128.0/18,3333,3333 1257 174 197426
1530280002,101.124.128.0/18,15562,15562 2914 174 197426
1530280003,101.124.128.0/18,15562,15562 2914 174 197426
1530280004,101.124.128.0/18,50304,50304 1299 174 197426
1530280004,101.124.128.0/18,3333,3333 1257 174 197426
1530280005,101.124.128.0/18,7018,7018 174 197426
1530280007,101.124.128.0/18,57381,57381 50304 1299 174 197426
1530280008,101.124.128.0/18,6881,6881 29208 3257 174 197426
1530280009,101.124.128.0/18,64050,64050 2914 174 197426
1530280010,101.124.128.0/18,3257,3257 174 197426
1530280011,101.124.128.0/18,8758,8758 15576 174 197426
1530280011,101.124.128.0/18,4777,4777 2497 2914 174 197426
1530280011,101.124.128.0/18,3333,3333 1257 174 197426
1530280011,101.124.128.0/18,1836,1836 3356 174 197426
1530280012,101.124.128.0/18,64050,64050 2914 174 197426
1530280012,101.124.128.0/18,8758,8758 174 197426
1530280012,101.124.128.0/18,50300,50300 3356 174 197426
1530280012,101.124.128.0/18,1836,1836 3356 174 197426
1530280012,101.124.128.0/18,1836,1836 3356 174 197426
1530280012,101.124.128.0/18,57821,57821 12586 3257 174 197426
1530280013,101.124.128.0/18,7018,7018 174 197426
1530280015,101.124.128.0/18,7018,7018 174 197426
1530280015,101.124.128.0/18,1836,1836 174 197426
1530280018,101.124.128.0/18,22652,22652 174 197426
1530280019,101.124.128.0/18,39351,39351 174 197426
1530280021,101.124.128.0/18,3549,3549 3356 174 197426
1530280023,101.124.128.0/18,1836,1836 174 197426
1530280029,101.124.128.0/18,37989,37989 4844 2914 174 197426
1530280030,101.124.128.0/18,29608,29608 3356 174 197426
1530280038,101.124.128.0/18,6881,6881 25512 174 197426
1530280041,101.124.128.0/18,4608,4608 1221 4637 174 197426
1530280042,101.124.128.0/18,50300,50300 174 197426
1530280049,101.124.128.0/18,3549,3549 3356 174 197426
1530280049,101.124.128.0/18,39351,39351 174 197426
1530283166,101.124.192.0/18,64050,64050 3491 4134 23724
1530289337,101.124.0.0/16,263702,263702 3549 3356 4134 23724 131486 131486
1530289337,101.124.0.0/18,263702,263702 3549 3356 4134 23724 131486 131486
1530289339,101.124.192.0/18,263702,263702 3549 3356 4134 23724
1530289339,101.124.64.0/18,263702,263702 3549 3356 4134 4812 4811 131486
1530289491,101.124.128.0/18,263702,263702 18747 174 197426
1530297252,101.124.192.0/18,64050,64050 2914 4134 23724
1530304127,101.124.192.0/18,64050,64050 3491 4134 23724
1530308828,101.124.128.0/18,15562,15562 2914 174 197426
1530308839,101.124.128.0/18,15562,15562 2914 174 197426
1530308842,101.124.128.0/18,3333,3333 1257 174 197426
1530308843,101.124.128.0/18,22652,22652 3257 174 197426
1530308843,101.124.128.0/18,15562,15562 2914 174 197426
1530308845,101.124.128.0/18,3333,3333 1257 174 197426
1530308845,101.124.128.0/18,8758,8758 6830 174 197426
1530308846,101.124.128.0/18,64050,64050 2914 174 197426
1530308847,101.124.128.0/18,1836,1836 13030 1299 174 197426
1530308847,101.124.128.0/18,1836,1836 3356 174 197426
1530308849,101.124.128.0/18,8758,8758 15576 174 197426
1530308850,101.124.128.0/18,3333,3333 1136 286 174 197426
1530308852,101.124.128.0/18,1836,1836 13030 1299 174 197426
1530308857,101.124.128.0/18,64050,64050 3491 174 197426
1530308858,101.124.128.0/18,50300,50300 31463 6762 174 197426
1530308860,101.124.128.0/18,6881,6881 15685 1299 174 197426
1530308864,101.124.128.0/18,8758,8758 15576 29075 1299 174 197426
1530308864,101.124.128.0/18,8758,8758 8220 3320 174 197426
1530308867,101.124.128.0/18,50304,50304 1299 174 197426
1530308869,101.124.128.0/18,39351,39351 12552 1299 174 197426
1530308872,101.124.128.0/18,37989,37989 4844 7473 6461 174 197426
1530308874,101.124.128.0/18,8758,8758 15576 29075 1299 174 197426
1530308874,101.124.128.0/18,29608,29608 3356 174 197426
1530308878,101.124.128.0/18,4777,4777 2497 701 174 197426
1530308893,101.124.128.0/18,64050,64050 3491 174 197426
1530308894,101.124.128.0/18,3333,3333 1136 24785 24785 24785 24785 6939 1299 174 197426
1530308919,101.124.128.0/18,4608,4608 1221 4637 1299 174 197426
1530308923,101.124.128.0/18,64050,64050 3491 174 197426
