prefix,peer_asn,as_path
177.200.2.0/23,7018,7018 2914 2914 2914 2914 28303 52775
177.200.2.0/23,4777,4777 2497 2914 2914 2914 2914 28303 52775
177.200.2.0/23,29608,29608 3356 2914 2914 2914 2914 28303 52775
177.200.2.0/23,50300,50300 2914 2914 2914 2914 28303 52775
177.200.2.0/23,22652,22652 3356 2914 2914 2914 2914 28303 52775
177.200.2.0/23,4608,4608 1221 4637 3561 2914 2914 2914 2914 28303 52775
177.200.2.0/23,3333,3333 3356 2914 2914 2914 2914 28303 52775
177.200.2.0/23,37989,37989 4844 2914 2914 2914 2914 28303 52775
177.200.2.0/23,9304,9304 2914 2914 2914 2914 28303 52775
177.200.2.0/23,57821,57821 48039 174 2914 2914 2914 2914 28303 52775
177.200.2.0/23,3549,3549 2914 2914 2914 2914 28303 52775
177.200.2.0/23,3257,3257 2914 2914 2914 2914 28303 52775
177.200.2.0/23,6881,6881 29208 2914 2914 2914 2914 28303 52775
177.200.2.0/23,57381,57381 42708 2914 2914 2914 2914 28303 52775
177.200.2.0/23,8758,8758 174 2914 2914 2914 2914 28303 52775
