timestamp,prefix,peer_asn,as_path
1411764793,200.239.0.0/18,1103,1103 60937 12389 16509 6461 1273
1411764793,200.239.0.0/18,20562,20562 60937 12389 16509 6461 1273
1411764793,200.239.0.0/18,12859,12859 60937 12389 16509 6461 1273
1411764793,200.239.0.0/18,20562,20562 60937 12389 16509 6461 1273
1411764796,200.239.0.0/18,15435,15435 60937 12389 16509 6461 1273
1411764812,200.239.0.0/18,50763,50763 60937 12389 16509 6461 1273
1411764817,200.239.0.0/18,31019,31019 60937 12389 16509 6461 1273
1411764793,200.239.0.0/18,1103,1103 60937 12389 16509 6461 1273
1411764793,200.239.0.0/18,20562,20562 60937 12389 16509 6461 1273
1411764793,200.239.0.0/18,12859,12859 60937 12389 16509 6461 1273
1411764793,200.239.0.0/18,20562,20562 60937 12389 16509 6461 1273
1411764796,200.239.0.0/18,15435,15435 60937 12389 16509 6461 1273
1411764812,200.239.0.0/18,50763,50763 60937 12389 16509 6461 1273
1411764817,200.239.0.0/18,31019,31019 60937 12389 16509 6461 1273
1411765156,200.239.0.0/18,12859,12859 60937 12389 16509 6461 1273
1411765156,200.239.0.0/18,1103,1103 2603 3491 11888
1411765157,200.239.0.0/18,12859,12859 2914 3491 11888
1411765157,200.239.0.0/18,20562,20562 60937 12389 16509 6461 1273
1411765157,200.239.0.0/18,20562,20562 60937 12389 16509 6461 1273
1411765172,200.239.0.0/18,50763,50763 8943 3549 3491 11888
1411765183,200.239.0.0/18,12859,12859 60937 12389 16509 6461 1273
1411765183,200.239.0.0/18,1103,1103 60937 12389 16509 6461 1273
1411765183,200.239.0.0/18,20562,20562 60937 12389 16509 6461 1273
1411765183,200.239.0.0/18,20562,20562 60937 12389 16509 6461 1273
1411765186,200.239.0.0/18,31019,31019 60937 12389 16509 6461 1273
1411765186,200.239.0.0/18,15435,15435 60937 12389 16509 6461 1273
1411765156,200.239.0.0/18,12859,12859 60937 12389 16509 6461 1273
1411765156,200.239.0.0/18,1103,1103 2603 3491 11888
1411765157,200.239.0.0/18,12859,12859 2914 3491 11888
1411765157,200.239.0.0/18,20562,20562 60937 12389 16509 6461 1273
1411765157,200.239.0.0/18,20562,20562 60937 12389 16509 6461 1273
1411765172,200.239.0.0/18,50763,50763 8943 3549 3491 11888
1411765183,200.239.0.0/18,12859,12859 60937 12389 16509 6461 1273
1411765183,200.239.0.0/18,1103,1103 60937 12389 16509 6461 1273
1411765183,200.239.0.0/18,20562,20562 60937 12389 16509 6461 1273
1411765183,200.239.0.0/18,20562,20562 60937 12389 16509 6461 1273
1411765186,200.239.0.0/18,31019,31019 60937 12389 16509 6461 1273
1411765186,200.239.0.0/18,15435,15435 60937 12389 16509 6461 1273
1411765202,200.239.0.0/18,50763,50763 60937 12389 16509 6461 1273
1411765202,200.239.0.0/18,50763,50763 60937 12389 16509 6461 1273
