prefix,peer_asn,as_path
121.91.63.0/24,6939,6939 38193 138423
121.91.63.0/24,7018,7018 174 38193 138423
121.91.63.0/24,2497,2497 58453 59257 138423
121.91.63.0/24,2914,2914 58453 59257 138423
121.91.63.0/24,3303,3303 174 38193 138423
121.91.63.0/24,20130,20130 6939 38193 138423
121.91.63.0/24,3130,3130 174 38193 138423
121.91.63.0/24,3741,3741 174 38193 138423
121.91.63.0/24,22652,22652 174 38193 138423
121.91.63.0/24,1403,1403 174 38193 138423
121.91.63.0/24,3257,3257 58453 59257 138423
121.91.63.0/24,57866,57866 5511 58453 59257 138423
121.91.63.0/24,3549,3549 3356 174 38193 138423
121.91.63.0/24,37100,37100 58453 59257 138423
121.91.63.0/24,293,293 2914 58453 59257 138423
121.91.63.0/24,2152,2152 3356 174 38193 138423
121.91.63.0/24,49788,49788 12552 58453 59257 138423
121.91.63.0/24,6939,6939 38193 138423
121.91.63.0/24,7018,7018 174 38193 138423
121.91.63.0/24,2497,2497 58453 59257 138423
121.91.63.0/24,2914,2914 58453 59257 138423
121.91.63.0/24,3303,3303 174 38193 138423
121.91.63.0/24,20130,20130 6939 38193 138423
121.91.63.0/24,3130,3130 174 38193 138423
121.91.63.0/24,3741,3741 174 38193 138423
121.91.63.0/24,22652,22652 174 38193 138423
121.91.63.0/24,1403,1403 174 38193 138423
121.91.63.0/24,3257,3257 58453 59257 138423
121.91.63.0/24,57866,57866 5511 58453 59257 138423
121.91.63.0/24,3549,3549 3356 174 38193 138423
121.91.63.0/24,37100,37100 58453 59257 138423
121.91.63.0/24,293,293 2914 58453 59257 138423
121.91.63.0/24,2152,2152 3356 174 38193 138423
121.91.63.0/24,49788,49788 12552 58453 59257 138423
121.91.63.0/24,6939,6939 38193 138423
121.91.63.0/24,7018,7018 174 38193 138423
121.91.63.0/24,2497,2497 58453 59257 138423
121.91.63.0/24,2914,2914 58453 59257 138423
121.91.63.0/24,3303,3303 174 38193 138423
121.91.63.0/24,20130,20130 6939 38193 138423
121.91.63.0/24,3130,3130 174 38193 138423
121.91.63.0/24,3741,3741 174 38193 138423
121.91.63.0/24,22652,22652 174 38193 138423
121.91.63.0/24,1403,1403 174 38193 138423
121.91.63.0/24,3257,3257 58453 59257 138423
121.91.63.0/24,57866,57866 5511 58453 59257 138423
121.91.63.0/24,3549,3549 3356 174 38193 138423
121.91.63.0/24,37100,37100 58453 59257 138423
121.91.63.0/24,293,293 2914 58453 59257 138423
121.91.63.0/24,2152,2152 3356 174 38193 138423
121.91.63.0/24,49788,49788 12552 58453 59257 138423
121.91.63.0/24,6939,6939 38193 138423
121.91.63.0/24,7018,7018 174 38193 138423
121.91.63.0/24,2497,2497 58453 59257 138423
121.91.63.0/24,2914,2914 58453 59257 138423
121.91.63.0/24,3303,3303 174 38193 138423
121.91.63.0/24,20130,20130 6939 38193 138423
121.91.63.0/24,3130,3130 174 38193 138423
121.91.63.0/24,3741,3741 174 38193 138423
121.91.63.0/24,22652,22652 174 38193 138423
121.91.63.0/24,1403,1403 174 38193 138423
121.91.63.0/24,3257,3257 58453 59257 138423
121.91.63.0/24,57866,57866 5511 58453 59257 138423
121.91.63.0/24,3549,3549 3356 174 38193 138423
121.91.63.0/24,37100,37100 58453 59257 138423
121.91.63.0/24,293,293 2914 58453 59257 138423
121.91.63.0/24,2152,2152 3356 174 38193 138423
121.91.63.0/24,49788,49788 12552 58453 59257 138423
