timestamp,prefix,peer_asn,as_path
1759454003,150.241.121.0/24,216285,216285 8280 6762 174 11798 401152
1759454004,150.241.121.0/24,216285,216285 8280 6762 174 11798 401152
1759454004,150.241.121.0/24,216285,216285 8280 6762 174 11798 401152
1759454013,150.241.121.0/24,45049,45049 6696 1299 174 11798 401152
1759454021,150.241.121.0/24,132825,132825 174 11798 401152
1759454921,150.241.121.0/24,216285,216285 8280 174 11798 401152
1759454973,150.241.121.0/24,45049,45049 6696 6762 3257 20473
1759456430,150.241.121.0/24,216285,216285 8280 6762 6461 7385 11798 401152
1759456430,150.241.121.0/24,216285,216285 8280 6762 174 11798 401152
1759456443,150.241.121.0/24,45049,45049 6696 1299 174 11798 401152
1759456448,150.241.121.0/24,132825,132825 174 11798 401152
1759457506,150.241.121.0/24,216285,216285 8280 174 11798 401152
1759457523,150.241.121.0/24,45049,45049 6696 6762 3257 20473
1759458548,150.241.121.0/24,328840,328840 327727 174 11798 401152
1759459305,150.241.121.0/24,216285,216285 8280 6762 174 11798 401152
1759459323,150.241.121.0/24,45049,45049 6696 1299 174 11798 401152
1759459336,150.241.121.0/24,132825,132825 174 11798 401152
1759459945,150.241.121.0/24,216285,216285 8280 174 11798 401152
1759459954,150.241.121.0/24,45049,45049 6696 6762 3257 20473
1759461385,150.241.121.0/24,216285,216285 8280 6762 174 11798 401152
1759461393,150.241.121.0/24,132825,132825 174 11798 401152
1759461393,150.241.121.0/24,45049,45049 6696 1299 174 11798 401152
1759463906,150.241.121.0/24,216285,216285 8280 3356 174 11798 401152
1759463906,150.241.121.0/24,216285,216285 8280 174 11798 401152
1759463914,150.241.121.0/24,45049,45049 6696 6762 3257 20473
1759464170,150.241.121.0/24,202365,202365 50673 6453 3257 20473
1759464170,150.241.121.0/24,34800,34800 58057 50673 6453 3257 20473
1759464196,150.241.121.0/24,202365,202365 50673 174 11798 401152
1759464196,150.241.121.0/24,34800,34800 58057 50673 174 11798 401152
1759465310,150.241.121.0/24,216285,216285 8280 6762 174 11798 401152
1759465324,150.241.121.0/24,45049,45049 6696 1299 174 11798 401152
1759465326,150.241.121.0/24,132825,132825 174 11798 401152
1759466345,150.241.121.0/24,216285,216285 8280 174 11798 401152
1759466374,150.241.121.0/24,45049,45049 6696 6762 3257 20473
1759468366,150.241.121.0/24,216285,216285 8280 6762 174 11798 401152
1759468367,150.241.121.0/24,216285,216285 8280 6762 174 11798 401152
1759468384,150.241.121.0/24,45049,45049 6696 1299 174 11798 401152
1759468398,150.241.121.0/24,132825,132825 174 11798 401152
1759470750,150.241.121.0/24,216285,216285 8280 6762 174 11798 401152
1759471062,150.241.121.0/24,216285,216285 8280 174 11798 401152
1759471084,150.241.121.0/24,45049,45049 6696 6762 3257 20473
1759474082,150.241.121.0/24,216285,216285 8280 6762 174 11798 401152
1759474106,150.241.121.0/24,216285,216285 8280 174 11798 401152
1759474112,150.241.121.0/24,132825,132825 174 11798 401152
1759475377,150.241.121.0/24,34549,34549 6461 7385 11798 401152
1759475811,150.241.121.0/24,49432,49432 48362 1299 174 11798 401152
1759475811,150.241.121.0/24,49432,49432 48362 9002 3257 20473
1759475812,150.241.121.0/24,34854,34854 3257 174 11798 401152
1759475812,150.241.121.0/24,34854,34854 3257 174 11798 401152
1759475812,150.241.121.0/24,59919,59919 9002 3257 20473
1759475812,150.241.121.0/24,57821,57821 12586 3257 174 11798 401152
1759475813,150.241.121.0/24,59919,59919 9002 6461 7385 11798 401152
1759475813,150.241.121.0/24,22652,22652 174 11798 401152
1759475813,150.241.121.0/24,49432,49432 48362 1299 174 11798 401152
1759475815,150.241.121.0/24,216285,216285 8280 6762 6461 7385 11798 401152
1759475815,150.241.121.0/24,216285,216285 8280 6762 6461 7385 11798 401152
1759475815,150.241.121.0/24,216285,216285 8280 6762 174 11798 401152
1759475815,150.241.121.0/24,55720,55720 2914 174 11798 401152
1759475816,150.241.121.0/24,216285,216285 8280 6762 174 11798 401152
1759475818,150.241.121.0/24,50304,50304 1299 174 11798 401152
1759475819,150.241.121.0/24,57381,57381 42708 6461 7385 11798 401152
1759475824,150.241.121.0/24,45049,45049 6696 1299 174 11798 401152
1759475826,150.241.121.0/24,38001,38001 3491 174 11798 401152
1759475827,150.241.121.0/24,49673,49673 20485 174 11798 401152
1759475831,150.241.121.0/24,213241,213241 9002 6461 7385 11798 401152
1759475831,150.241.121.0/24,55720,55720 3491 174 11798 401152
1759475848,150.241.121.0/24,50300,50300 174 11798 401152
1759475863,150.241.121.0/24,132825,132825 174 11798 401152
1759485027,150.241.121.0/24,328840,328840 327727 174 11798 401152
1759491841,150.241.121.0/24,328840,328840 327727 174 11798 401152
