prefix,peer_asn,as_path
103.197.167.0/24,1103,1103 6939 7642 24016
103.197.167.0/24,12859,12859 7642 24016
103.197.167.0/24,50629,50629 6939 7642 24016
103.197.167.0/24,205206,205206 6939 7642 24016
103.197.167.0/24,12956,12956 6939 7642 24016
103.197.167.0/24,3320,3320 6939 7642 24016
103.197.167.0/24,8529,8529 7642 24016
103.197.167.0/24,39351,39351 7642 24016
103.197.167.0/24,25160,25160 7642 24016
103.197.167.0/24,47147,47147 7642 24016
103.197.167.0/24,51088,51088 2914 174 7642 24016
103.197.167.0/24,41666,41666 6939 7642 24016
103.197.167.0/24,34019,34019 7642 24016
103.197.167.0/24,24482,24482 7642 24016
103.197.167.0/24,51185,51185 6762 174 7642 24016
103.197.167.0/24,6461,6461 6939 7642 24016
103.197.167.0/24,3214,3214 7642 24016
103.197.167.0/24,199938,199938 6939 7642 24016
103.197.167.0/24,31019,31019 6939 7642 24016
103.197.167.0/24,42541,42541 7642 24016
103.197.167.0/24,1140,1140 6939 7642 24016
103.197.167.0/24,49544,49544 7642 24016
103.197.167.0/24,8218,8218 6939 7642 24016
103.197.167.0/24,50763,50763 6939 7642 24016
103.197.167.0/24,35598,35598 7642 24016
103.197.167.0/24,6830,6830 6939 7642 24016
103.197.167.0/24,6939,6939 7642 24016
103.197.167.0/24,6453,6453 174 7642 24016
103.197.167.0/24,199524,199524 174 7642 24016
103.197.167.0/24,8283,8283 6939 7642 24016
103.197.167.0/24,14907,14907 6939 7642 24016
103.197.167.0/24,8455,8455 6939 7642 24016
103.197.167.0/24,48185,48185 6939 7642 24016
103.197.167.0/24,8455,8455 4637 45489 24016
103.197.167.0/24,50763,50763 6939 7642 45489 24016
103.197.167.0/24,6830,6830 1299 45489 24016
103.197.167.0/24,199524,199524 4637 45489 24016
103.197.167.0/24,8455,8455 45489 24016
103.197.167.0/24,6461,6461 4637 45489 24016
103.197.167.0/24,199524,199524 45489 24016
103.197.167.0/24,6777,45489 24016
103.197.167.0/24,50763,50763 45489 24016
