prefix,peer_asn,as_path
91.213.204.0/24,7018,7018 1239 1257 8437 39393
91.213.204.0/24,9304,9304 15412 1257 8437 39393
91.213.204.0/24,57821,57821 12586 3257 1257 8437 39393
91.213.204.0/24,4777,4777 2516 1257 8437 39393
91.213.204.0/24,50300,50300 174 1257 8437 39393
91.213.204.0/24,4608,4608 1221 4637 1257 8437 39393
91.213.204.0/24,6881,6881 15685 1299 1257 8437 39393
91.213.204.0/24,3549,3549 1239 1257 8437 39393
91.213.204.0/24,3257,3257 1257 8437 39393
91.213.204.0/24,57381,57381 50304 174 1257 8437 39393
91.213.204.0/24,22652,22652 5580 1257 8437 39393
91.213.204.0/24,1836,1836 174 1257 8437 39393
91.213.204.0/24,3333,3333 1257 8437 39393
91.213.204.0/24,29608,29608 3356 1257 8437 39393
91.213.204.0/24,8758,8758 8220 1257 8437 39393
