timestamp,prefix,peer_asn,as_path
1434098776,91.213.204.0/24,3549,3549 4788 1257 8437 39393
1434098885,91.213.204.0/24,29608,29608 3356 3549 4788 1257 8437 39393
1434098984,91.213.204.0/24,29608,29608 3356 1257 8437 39393
1434099927,91.213.204.0/24,29608,29608 3356 3549 4788 1257 8437 39393
1434101155,91.213.204.0/24,29608,29608 3356 3549 4788 1257 8437 39393
1434101217,91.213.204.0/24,29608,29608 3356 3549 4788 1257 8437 39393
1434102901,91.213.204.0/24,29608,29608 3356 3549 4788 1257 8437 39393
1434102931,91.213.204.0/24,29608,29608 3356 3549 4788 1257 8437 39393
1434104236,91.213.204.0/24,29608,29608 3356 3549 4788 1257 8437 39393
1434105085,91.213.204.0/24,29608,29608 3356 1239 1257 8437 39393
1434105112,91.213.204.0/24,29608,29608 3356 1239 1257 8437 39393
1434105239,91.213.204.0/24,29608,29608 3356 3549 4788 1257 8437 39393
1434105457,91.213.204.0/24,29608,29608 3356 1239 1257 8437 39393
1434105488,91.213.204.0/24,29608,29608 3356 1239 1257 8437 39393
1434105518,91.213.204.0/24,29608,29608 5511 1257 8437 39393
1434105627,91.213.204.0/24,3549,3549 1239 1257 8437 39393
1434105658,91.213.204.0/24,3549,3549 1239 1257 8437 39393
1434105719,91.213.204.0/24,3549,3549 1239 1257 8437 39393
1434105812,91.213.204.0/24,3549,3549 1239 1257 8437 39393
1434106875,91.213.204.0/24,29608,29608 6453 1257 8437 39393
1434107066,91.213.204.0/24,29608,29608 6453 1257 8437 39393
