timestamp,prefix,peer_asn,as_path
1203878877,208.65.153.0/24,3333,3333 12859 6461 3491 17557
1203878877,208.65.153.0/24,3333,3333 12859 2914 3491 17557
1203878878,208.65.153.0/24,3549,3549 3491 17557
1203878880,208.65.153.0/24,3549,3549 3491 17557
1203878883,208.65.153.0/24,3549,3549 3491 17557
1203878884,208.65.153.0/24,3333,3333 6320 3549 3491 17557
1203878889,208.65.153.0/24,34225,34225 1299 3491 3491 17557
1203878891,208.65.153.0/24,4608,4608 7474 7473 3491 17557
1203878891,208.65.153.0/24,7018,7018 3549 3491 17557
1203878893,208.65.153.0/24,34225,34225 1299 3549 3491 17557
1203878894,208.65.153.0/24,4777,4777 2497 3491 17557
1203878895,208.65.153.0/24,3257,3257 3549 3491 17557
1203878898,208.65.153.0/24,6881,6881 25512 13237 3491 17557
1203878899,208.65.153.0/24,3741,3741 174 3491 17557
1203878900,208.65.153.0/24,34225,34225 1299 3491 17557
1203878902,208.65.153.0/24,3333,3333 286 3491 17557
1203878907,208.65.153.0/24,16186,16186 21318 21318 3549 3491 17557
1203878909,208.65.153.0/24,1930,1930 20965 1299 3491 17557
1203878915,208.65.153.0/24,7018,7018 3549 3491 17557
1203878916,208.65.153.0/24,3333,3333 12859 3491 17557
1203878916,208.65.153.0/24,34225,34225 41692 3491 17557
1203878919,208.65.153.0/24,4608,4608 1221 4637 3491 17557
1203878920,208.65.153.0/24,7018,7018 3549 3491 17557
1203878926,208.65.153.0/24,3333,3333 12859 3491 17557
1203878926,208.65.153.0/24,3333,3333 12859 3491 17557
1203878930,208.65.153.0/24,3741,3741 3491 17557
1203878959,208.65.153.0/24,6881,6881 29208 3491 17557
1203883645,208.65.153.0/24,3549,3549 36561
1203883646,208.65.153.0/24,7018,7018 3549 36561
1203883647,208.65.153.0/24,16186,16186 21318 21318 3549 36561
1203883650,208.65.153.0/24,7018,7018 3549 36561
1203883651,208.65.153.0/24,3257,3257 3549 36561
1203883655,208.65.153.0/24,7018,7018 3549 36561
1203883657,208.65.153.0/24,3257,3257 3549 36561
1203883674,208.65.153.0/24,1930,1930 20965 1299 3549 36561
1203884324,208.65.153.0/25,3549,3549 36561
1203884324,208.65.153.128/25,3549,3549 36561
1203884337,208.65.153.0/25,16186,16186 21318 21318 3549 36561
1203884337,208.65.153.128/25,16186,16186 21318 21318 3549 36561
1203884370,208.65.153.0/25,4777,4777 2516 3549 36561
1203884370,208.65.153.128/25,4777,4777 2516 3549 36561
1203886317,208.65.153.0/24,4777,4777 2497 3549 36561
1203886345,208.65.153.0/24,3333,3333 12859 3491 17557
1203886354,208.65.153.0/24,3741,3741 3491 17557 17557
1203886358,208.65.153.0/24,4608,4608 1221 4637 3549 36561
1203886358,208.65.153.0/24,34225,34225 41692 3491 17557 17557
1203886358,208.65.153.0/24,3333,3333 3356 3549 36561
1203886462,208.65.153.0/24,6881,6881 29208 3491 17557 17557
1203886869,208.65.153.0/24,34225,34225 1299 3549 36561
1203886907,208.65.153.0/24,3741,3741 7018 3549 36561
1203887006,208.65.153.0/24,6881,6881 9080 8928 36561
1203888125,208.65.153.0/24,4777,4777 2516 3549 36561
1203888133,208.65.152.0/22,4777,4777 2516 174 36561
1203888215,208.65.153.0/24,4777,4777 2497 3549 36561
1203888217,208.65.152.0/22,4777,4777 2497 36561
1203888343,208.65.153.0/25,4777,4777 2516 3549 36561
1203888343,208.65.153.128/25,4777,4777 2516 3549 36561
