timestamp,prefix,peer_asn,as_path
1410271007,95.128.184.0/22,3333,3333 1257 1239
1410271007,95.128.184.0/22,3333,3333 1299 1239
1410271007,95.128.184.0/22,7018,7018 1239
1410271010,95.128.184.0/22,3257,3257 1239
1410271014,95.128.184.0/22,57821,57821 48039 3257 1239
1410271014,95.128.184.0/22,22652,22652 6453 1239
1410271016,95.128.184.0/22,8758,8758 6830 1239
1410271021,95.128.184.0/22,6881,6881 15685 1299 1239
1410271042,95.128.184.0/22,57381,57381 50304 1299 1239
1410271046,95.128.184.0/22,4777,4777 2497 1239
1410271046,95.128.184.0/22,8758,8758 6830 1239
1410279429,95.128.184.0/22,9304,9304 2914 5603 34547
1410279437,95.128.184.0/22,29608,29608 3356 5603 34547
1410279438,95.128.184.0/22,50300,50300 2914 5603 34547
1410279461,95.128.184.0/22,7018,7018 1239
1410279470,95.128.184.0/22,22652,22652 6453 1239
1410279478,95.128.184.0/22,6881,6881 15685 1299 1239
1410279501,95.128.184.0/22,4608,4608 1221 4637 3356 5603 34547
1410279518,95.128.184.0/22,57381,57381 50304 1299 1239
1410279519,95.128.184.0/22,8758,8758 6830 1239
1410279535,95.128.184.0/22,3257,3257 1239
1410279558,95.128.184.0/22,4777,4777 2497 1239
1410279635,95.128.184.0/22,3333,3333 1299 1239
1410279652,95.128.184.0/22,37989,37989 4844 7473 174 34547 34547 34547 34547 34547 34547 34547 34547 34547 34547 34547
1410279681,95.128.184.0/22,57821,57821 48039 3257 1239
1410279733,95.128.184.0/22,3549,3549 3356 5603 34547
1410294423,95.128.184.0/22,3333,3333 1299 1239
1410294489,95.128.184.0/22,9304,9304 2914 5603 34547
1410326619,95.128.184.0/22,29608,29608 3356 5603 34547
1410326632,95.128.184.0/22,50300,50300 2914 5603 34547
1410326641,95.128.184.0/22,7018,7018 1239
1410326658,95.128.184.0/22,9304,9304 2914 5603 34547
1410326691,95.128.184.0/22,8758,8758 6830 1239
1410326705,95.128.184.0/22,4608,4608 1221 4637 3356 5603 34547
1410326710,95.128.184.0/22,22652,22652 6453 1239
1410326753,95.128.184.0/22,3549,3549 3356 5603 34547
1410326765,95.128.184.0/22,4777,4777 2497 1239
1410326794,95.128.184.0/22,3333,3333 1299 1239
1410326804,95.128.184.0/22,3257,3257 1239
1410326807,95.128.184.0/22,6881,6881 15685 1299 1239
1410326813,95.128.184.0/22,57381,57381 50304 1299 1239
1410326889,95.128.184.0/22,37989,37989 4844 7473 174 34547 34547 34547 34547 34547 34547 34547 34547 34547 34547 34547
1410326925,95.128.184.0/22,57821,57821 48039 3257 1239
1410363862,95.128.184.0/22,3257,3257 1239
1410363868,95.128.184.0/22,57821,57821 48039 3257 1239
1410363871,95.128.184.0/22,7018,7018 1239
1410363874,95.128.184.0/22,3257,3257 1239
1410363879,95.128.184.0/22,8758,8758 15576 3257 1239
1410363887,95.128.184.0/22,7018,7018 2914 5603 34547
1410363891,95.128.184.0/22,3257,3257 3356 5603 34547
1410363898,95.128.184.0/22,57821,57821 48039 3257 3356 5603 34547
1410363912,95.128.184.0/22,22652,22652 3356 5603 34547
1410363912,95.128.184.0/22,8758,8758 8758 3356 5603 34547
1410363942,95.128.184.0/22,4777,4777 2497 2914 5603 34547
1410363950,95.128.184.0/22,7018,7018 1239
1410363950,95.128.184.0/22,7018,7018 1239
1410363953,95.128.184.0/22,3257,3257 1239
1410363959,95.128.184.0/22,57821,57821 48039 3320 1239
1410363969,95.128.184.0/22,8758,8758 6830 1239
1410363972,95.128.184.0/22,22652,22652 6453 1239
1410363974,95.128.184.0/22,7018,7018 1239
1410364024,95.128.184.0/22,4777,4777 2497 1239
1410364521,95.128.184.0/22,3257,3257 1239
1410364523,95.128.184.0/22,7018,7018 1239
1410364538,95.128.184.0/22,57821,57821 48039 3257 1239
1410364544,95.128.184.0/22,7018,7018 1239
1410364544,95.128.184.0/22,7018,7018 1239
1410364546,95.128.184.0/22,7018,7018 3356 5603 34547
1410364546,95.128.184.0/22,7018,7018 2914 5603 34547
1410364552,95.128.184.0/22,3257,3257 3356 5603 34547
1410364555,95.128.184.0/22,3333,3333 1273 1239
1410364555,95.128.184.0/22,3333,3333 1299 1239
