prefix,peer_asn,as_path
95.128.184.0/22,50300,50300 2914 5603 34547
95.128.184.0/22,3333,3333 3356 5603 34547
95.128.184.0/22,37989,37989 4844 7473 174 34547 34547 34547 34547 34547 34547 34547 34547 34547 34547 34547
95.128.184.0/22,9304,9304 2914 5603 34547
95.128.184.0/22,6881,6881 15685 6939 5603 34547
95.128.184.0/22,57821,57821 48039 3320 3356 5603 34547
95.128.184.0/22,22652,22652 3356 5603 34547
95.128.184.0/22,4608,4608 1221 4637 3356 5603 34547
95.128.184.0/22,3257,3257 3356 5603 34547
95.128.184.0/22,57381,57381 42708 2914 5603 34547
95.128.184.0/22,7018,7018 2914 5603 34547
95.128.184.0/22,3549,3549 3356 5603 34547
95.128.184.0/22,4777,4777 2497 2914 5603 34547
95.128.184.0/22,8758,8758 8758 3356 5603 34547
95.128.184.0/22,29608,29608 3356 5603 34547
