prefix,peer_asn,as_path
69.171.255.0/24,42109,42109 41965 41877 3356 32934
69.171.255.0/24,1930,1930 20965 1299 32934
69.171.255.0/24,41495,41495 39757 32934
69.171.255.0/24,3549,3549 32934
69.171.255.0/24,4608,4608 1221 4637 32934
69.171.255.0/24,4777,4777 2516 3549 32934
69.171.255.0/24,9304,9304 32934
69.171.255.0/24,6881,6881 29208 32934
69.171.255.0/24,3333,3333 8218 32934
69.171.255.0/24,8758,8758 13030 32934
69.171.255.0/24,7018,7018 3356 32934
69.171.255.0/24,3257,3257 3549 32934
69.171.240.0/20,42109,42109 41965 41877 3356 32934
69.171.240.0/20,1930,1930 20965 1299 32934
69.171.240.0/20,41495,41495 39757 32934
69.171.240.0/20,3549,3549 32934
69.171.240.0/20,4608,4608 1221 4637 32934
69.171.240.0/20,4777,4777 2516 3549 32934
69.171.240.0/20,9304,9304 32934
69.171.240.0/20,6881,6881 29208 32934
69.171.240.0/20,3333,3333 8218 32934
69.171.240.0/20,8758,8758 13030 32934
69.171.240.0/20,7018,7018 3356 32934
69.171.240.0/20,3257,3257 3549 32934
