timestamp,prefix,peer_asn,as_path
1456041535,146.84.2.0/24,1836,1836 13030 3223 203959 4134
1456041535,146.84.2.0/24,8758,8758 8220 3223 203959 4134
1456041536,146.84.2.0/24,22652,22652 5580 3223 203959 4134
1456041538,146.84.2.0/24,57821,57821 12586 31400 3223 203959 4134
1456041544,146.84.2.0/24,50300,50300 5580 3223 203959 4134
1456041544,146.84.2.0/24,4608,4608 24130 7545 6939 3223 203959 4134
1456041565,146.84.2.0/24,8758,8758 15576 8220 3223 203959 4134
1456041574,146.84.2.0/24,50300,50300 3223 203959 4134
1456041575,146.84.2.0/24,4608,4608 1221 4637 3223 203959 4134
1456041535,146.84.2.0/24,1836,1836 13030 3223 203959 4134
1456041535,146.84.2.0/24,8758,8758 8220 3223 203959 4134
1456041536,146.84.2.0/24,22652,22652 5580 3223 203959 4134
1456041538,146.84.2.0/24,57821,57821 12586 31400 3223 203959 4134
1456041544,146.84.2.0/24,50300,50300 5580 3223 203959 4134
1456041544,146.84.2.0/24,4608,4608 24130 7545 6939 3223 203959 4134
1456041565,146.84.2.0/24,8758,8758 15576 8220 3223 203959 4134
1456041574,146.84.2.0/24,50300,50300 3223 203959 4134
1456041575,146.84.2.0/24,4608,4608 1221 4637 3223 203959 4134
1456041607,146.84.2.0/24,57381,57381 42708 3223 203959 4134
1456041608,146.84.2.0/24,50304,50304 42708 3223 203959 4134
1456041607,146.84.2.0/24,57381,57381 42708 3223 203959 4134
1456041608,146.84.2.0/24,50304,50304 42708 3223 203959 4134
1456042245,146.84.2.0/24,57821,57821 12586 31400 3223 203959 4134 42708 36236 6939
1456042245,146.84.2.0/24,1836,1836 13030 3223 203959 4134 42708 36236 6939
1456042251,146.84.2.0/24,57381,57381 50304 42708 3223 203959 4134
1456042256,146.84.2.0/24,22652,22652 5580 3223 203959 4134 42708 36236 6939
1456042258,146.84.2.0/24,8758,8758 15576 6772 6730 3223 203959 4134
1456042264,146.84.2.0/24,50300,50300 5580 3223 203959 4134 42708 36236 6939
1456042288,146.84.2.0/24,8758,8758 15576 8220 3223 203959 4134 42708 36236 6939
1456042314,146.84.2.0/24,4608,4608 1221 4637 3223 203959 4134 42708 36236 6939
1456042245,146.84.2.0/24,57821,57821 12586 31400 3223 203959 4134 42708 36236 6939
1456042245,146.84.2.0/24,1836,1836 13030 3223 203959 4134 42708 36236 6939
1456042251,146.84.2.0/24,57381,57381 50304 42708 3223 203959 4134
1456042256,146.84.2.0/24,22652,22652 5580 3223 203959 4134 42708 36236 6939
1456042258,146.84.2.0/24,8758,8758 15576 6772 6730 3223 203959 4134
1456042264,146.84.2.0/24,50300,50300 5580 3223 203959 4134 42708 36236 6939
1456042288,146.84.2.0/24,8758,8758 15576 8220 3223 203959 4134 42708 36236 6939
1456042314,146.84.2.0/24,4608,4608 1221 4637 3223 203959 4134 42708 36236 6939
1456042826,146.84.2.0/24,22652,22652 5580 3223 203959 4134
1456042827,146.84.2.0/24,1836,1836 13030 3223 203959 4134
1456042829,146.84.2.0/24,57821,57821 12586 31400 3223 203959 4134
1456042831,146.84.2.0/24,8758,8758 15576 8220 3223 203959 4134
1456042834,146.84.2.0/24,50300,50300 5580 3223 203959 4134
1456042860,146.84.2.0/24,57821,57821 12586 31400 3223 203959 4134 42708 36236 6939
1456042861,146.84.2.0/24,8758,8758 15576 8220 3223 203959 4134
1456042864,146.84.2.0/24,50300,50300 3223 203959 4134
1456042866,146.84.2.0/24,4608,4608 1221 4637 3223 203959 4134
1456042868,146.84.2.0/24,1836,1836 13030 3223 203959 4134 42708 36236 6939
1456042868,146.84.2.0/24,50304,50304 42708 3223 203959 4134
1456042886,146.84.2.0/24,22652,22652 5580 3223 203959 4134 42708 36236 6939
1456042891,146.84.2.0/24,8758,8758 15576 8220 3223 203959 4134 42708 36236 6939
1456042897,146.84.2.0/24,4608,4608 1221 4637 3223 203959 4134 42708 36236 6939
1456042897,146.84.2.0/24,57381,57381 50304 42708 3223 203959 4134
1456042924,146.84.2.0/24,50300,50300 5580 3223 203959 4134 42708 36236 6939
1456042826,146.84.2.0/24,22652,22652 5580 3223 203959 4134
1456042827,146.84.2.0/24,1836,1836 13030 3223 203959 4134
1456042829,146.84.2.0/24,57821,57821 12586 31400 3223 203959 4134
1456042831,146.84.2.0/24,8758,8758 15576 8220 3223 203959 4134
1456042834,146.84.2.0/24,50300,50300 5580 3223 203959 4134
1456042860,146.84.2.0/24,57821,57821 12586 31400 3223 203959 4134 42708 36236 6939
1456042861,146.84.2.0/24,8758,8758 15576 8220 3223 203959 4134
1456042864,146.84.2.0/24,50300,50300 3223 203959 4134
1456042866,146.84.2.0/24,4608,4608 1221 4637 3223 203959 4134
1456042868,146.84.2.0/24,1836,1836 13030 3223 203959 4134 42708 36236 6939
1456042868,146.84.2.0/24,50304,50304 42708 3223 203959 4134
1456042886,146.84.2.0/24,22652,22652 5580 3223 203959 4134 42708 36236 6939
1456042891,146.84.2.0/24,8758,8758 15576 8220 3223 203959 4134 42708 36236 6939
1456042897,146.84.2.0/24,4608,4608 1221 4637 3223 203959 4134 42708 36236 6939
1456042897,146.84.2.0/24,57381,57381 50304 42708 3223 203959 4134
1456042924,146.84.2.0/24,50300,50300 5580 3223 203959 4134 42708 36236 6939
