timestamp,prefix,peer_asn,as_path
1449257792,172.81.129.0/24,22652,22652 5580 6762 3223 203959
1449257795,172.81.129.0/24,3549,3549 6762 3223 203959
1449257801,172.81.129.0/24,4608,4608 1221 4637 6762 3223 203959
1449257803,172.81.129.0/24,29608,29608 3356 6762 3223 203959
1449257833,172.81.129.0/24,29608,29608 3356 6762 3223 203959
1449257895,172.81.129.0/24,29608,29608 3356 6762 3223 203959
1449258109,172.81.129.0/24,29608,29608 3356 6762 3223 203959
1449288580,172.81.129.0/24,4777,4777 2497 2914 3223 203959
1449304633,172.81.129.0/24,4608,4608 1221 4637 3223 203959
1449317694,172.81.129.0/24,3257,3257 6762 3223 203959
1449317938,172.81.129.0/24,3257,3257 1299 3223 203959
1449339791,172.81.129.0/24,3257,3257 6762 3223 203959
1449339791,172.81.129.0/24,29608,29608 3356 6762 3223 203959
1449339792,172.81.129.0/24,50300,50300 2914 3223 203959
1449339792,172.81.129.0/24,8758,8758 8220 3223 203959
1449339792,172.81.129.0/24,1836,1836 174 1299 3223 203959
1449339792,172.81.129.0/24,8758,8758 8220 5483 3223 203959
1449339795,172.81.129.0/24,7018,7018 6762 3223 203959
1449339796,172.81.129.0/24,8758,8758 15576 8220 3223 203959
1449339796,172.81.129.0/24,7018,7018 1299 3223 203959
1449339797,172.81.129.0/24,7018,7018 1299 3223 203959
1449339799,172.81.129.0/24,3257,3257 1299 3223 203959
1449339801,172.81.129.0/24,57821,57821 12586 3257 1299 3223 203959
1449339804,172.81.129.0/24,3549,3549 6762 3223 203959
1449339806,172.81.129.0/24,1836,1836 174 6762 3223 203959
1449339807,172.81.129.0/24,4777,4777 2516 6762 3223 203959
1449339807,172.81.129.0/24,3257,3257 6762 3223 203959
1449339809,172.81.129.0/24,57381,57381 50304 42708 3223 203959
1449339819,172.81.129.0/24,8758,8758 6830 1299 3223 203959
1449339822,172.81.129.0/24,50300,50300 2914 6762 3223 203959
1449339822,172.81.129.0/24,29608,29608 3356 6762 3223 203959
1449339825,172.81.129.0/24,8758,8758 6830 6762 3223 203959
1449339833,172.81.129.0/24,50304,50304 1299 6762 3223 203959
1449339833,172.81.129.0/24,57821,57821 12586 3257 6762 3223 203959
1449339835,172.81.129.0/24,3549,3549 6762 3223 203959
1449339838,172.81.129.0/24,4777,4777 2497 701 1299 3223 203959
1449339838,172.81.129.0/24,3257,3257 6762 3223 203959
1449339838,172.81.129.0/24,57381,57381 50304 174 1299 3223 203959
1449339839,172.81.129.0/24,4608,4608 1221 4637 1239 6762 3223 203959
1449339850,172.81.129.0/24,3257,3257 6762 6762 3223 203959
1449339863,172.81.129.0/24,57821,57821 12586 3257 6762 6762 3223 203959
1449339869,172.81.129.0/24,57381,57381 50304 174 6762 3223 203959
1449339885,172.81.129.0/24,8758,8758 174 6762 3223 203959
1449339893,172.81.129.0/24,50304,50304 174 6762 3223 203959
1449339899,172.81.129.0/24,4777,4777 2497 2914 6762 3223 203959
1449339901,172.81.129.0/24,4608,4608 1221 4637 3561 209 1299 3223 203959
1449339903,172.81.129.0/24,7018,7018 1299 3223 203959
1449339907,172.81.129.0/24,3257,3257 6762 3223 203959
1449339908,172.81.129.0/24,22652,22652 5580 6762 3223 203959
1449339912,172.81.129.0/24,50300,50300 3223 203959
1449339914,172.81.129.0/24,8758,8758 8220 3223 203959
1449339914,172.81.129.0/24,29608,29608 5511 5511 5511 5511 6762 3223 203959
1449339914,172.81.129.0/24,1836,1836 13030 3223 203959
1449339915,172.81.129.0/24,8758,8758 8220 3223 203959
1449339924,172.81.129.0/24,57821,57821 12586 31400 3223 203959
1449339925,172.81.129.0/24,50304,50304 1299 3223 203959
1449339927,172.81.129.0/24,3549,3549 6762 3223 203959
1449339930,172.81.129.0/24,4777,4777 2497 2914 3223 203959
1449339931,172.81.129.0/24,57381,57381 42708 3223 203959
1449339932,172.81.129.0/24,4608,4608 1221 4637 6762 3223 203959
1449339945,172.81.129.0/24,29608,29608 3356 6762 3223 203959
1449339954,172.81.129.0/24,57821,57821 12586 31025 5483 3223 203959
1449339962,172.81.129.0/24,4608,4608 1221 4637 3223 203959
1449339985,172.81.129.0/24,57821,57821 12586 31400 3223 203959
1449343452,172.81.129.0/24,3257,3257 1299 3223 203959
1449345444,172.81.128.0/21,37989,37989 4844 2914 6461 46664
1449350602,172.81.129.0/24,57821,57821 12586 3257 6762 3223 203959
1449350633,172.81.129.0/24,57821,57821 12586 13101 3223 203959
1449350985,172.81.129.0/24,57821,57821 12586 31400 3223 203959
1449434993,172.81.129.0/24,8758,8758 8220 3223 203959
1449435005,172.81.129.0/24,57821,57821 12586 31025 5483 3223 203959
1449435007,172.81.129.0/24,3257,3257 1299 3223 203959
1449435008,172.81.129.0/24,1836,1836 174 1299 3223 203959
1449435008,172.81.129.0/24,8758,8758 6830 1299 3223 203959
1449435011,172.81.129.0/24,3549,3549 6762 3223 203959
1449435012,172.81.129.0/24,7018,7018 1299 3223 203959
1449435012,172.81.129.0/24,50300,50300 2914 1299 3223 203959
1449435018,172.81.129.0/24,4777,4777 2497 701 1299 3223 203959
1449435025,172.81.129.0/24,57381,57381 50304 174 1299 3223 203959
1449435028,172.81.129.0/24,50304,50304 1299 6762 3223 203959
1449435032,172.81.129.0/24,7018,7018 6762 3223 203959
1449435032,172.81.129.0/24,8758,8758 6830 6762 3223 203959
1449435033,172.81.129.0/24,7018,7018 1299 3223 203959
1449435034,172.81.129.0/24,7018,7018 1299 3223 203959
1449435035,172.81.129.0/24,7018,7018 1299 3223 203959
1449435037,172.81.129.0/24,1836,1836 174 6762 3223 203959
1449435037,172.81.129.0/24,57821,57821 12586 3257 1299 3223 203959
1449435039,172.81.129.0/24,3257,3257 6762 3223 203959
1449435042,172.81.129.0/24,3549,3549 6762 3223 203959
1449435042,172.81.129.0/24,50300,50300 2914 6762 3223 203959
1449435044,172.81.129.0/24,3257,3257 6762 6762 3223 203959
1449435052,172.81.129.0/24,4608,4608 1221 4637 1239 1299 3223 203959
1449435067,172.81.129.0/24,57821,57821 12586 3257 6762 6762 3223 203959
1449435086,172.81.129.0/24,57381,57381 50304 174 6762 3223 203959
1449435092,172.81.129.0/24,8758,8758 174 6762 3223 203959
1449435102,172.81.129.0/24,50300,50300 174 6762 3223 203959
1449435104,172.81.129.0/24,22652,22652 3257 6762 6762 3223 203959
1449435110,172.81.129.0/24,4777,4777 2497 701 1299 3223 203959
1449435113,172.81.129.0/24,4608,4608 24130 7545 174 6762 3223 203959
1449435121,172.81.129.0/24,50304,50304 174 6762 3223 203959
1449435144,172.81.129.0/24,8758,8758 15576 6772 6730 6730 174 6762 3223 203959
1449435175,172.81.129.0/24,4608,4608 24130 7545 174 6762 3223 203959
