prefix,peer_asn,as_path
172.81.128.0/21,1836,1836 174 6461 46664
172.81.128.0/21,4608,4608 1221 4637 6461 46664
172.81.128.0/21,4777,4777 2497 6461 46664
172.81.128.0/21,3549,3549 3356 6461 46664
172.81.128.0/21,57821,57821 12586 13101 6461 46664
172.81.128.0/21,3257,3257 6461 46664
172.81.128.0/21,37989,37989 4844 2914 6461 46664
172.81.128.0/21,57381,57381 50304 174 6461 46664
172.81.128.0/21,50304,50304 1299 6461 46664
172.81.128.0/21,22652,22652 5580 6461 46664
172.81.128.0/21,7018,7018 6461 46664
172.81.128.0/21,29608,29608 3356 6461 46664
172.81.128.0/21,8758,8758 8220 6461 46664
172.81.128.0/21,50300,50300 2914 6461 46664
172.81.129.0/24,4777,4777 2497 701 1299 3223 203959
172.81.129.0/24,29608,29608 3356 1299 3223 203959
172.81.129.0/24,3549,3549 3356 1299 3223 203959
172.81.129.0/24,22652,22652 6453 1299 3223 203959
172.81.129.0/24,3257,3257 1299 3223 203959
172.81.129.0/24,7018,7018 1299 3223 203959
172.81.129.0/24,50300,50300 3223 203959
172.81.129.0/24,57381,57381 42708 3223 203959
172.81.129.0/24,57821,57821 12586 31400 3223 203959
172.81.129.0/24,4608,4608 1221 4637 1239 1299 3223 203959
172.81.129.0/24,50304,50304 42708 3223 203959
172.81.129.0/24,8758,8758 8220 3223 203959
172.81.129.0/24,1836,1836 13030 3223 203959
